Entry	Cross-reference (ChEMBL)
P22234	CHEMBL5922
P9WIL5	CHEMBL6069
Q6QHF9	CHEMBL2105
O88554	CHEMBL2794
Q9NR21	CHEMBL2380189
O00254	CHEMBL5477
Q5XJY4	CHEMBL3259502
Q96QU1	CHEMBL6112
P42785	CHEMBL2335
Q16549	CHEMBL2232
Q6UW60	CHEMBL4861
P29122	CHEMBL2951
Q15116	CHEMBL3307223
P30520	CHEMBL4875
P14270	CHEMBL2712
P27815	CHEMBL254
P35913	CHEMBL3430880
P51160	CHEMBL3977
Q8QZV1	CHEMBL3638358
Q15118	CHEMBL4766
Q63065	CHEMBL2096663
Q15120	CHEMBL3893
O15530	CHEMBL2534
Q60597	CHEMBL2176831
Q12923	CHEMBL2976
Q15678	CHEMBL3317332
P18031	CHEMBL335
P35821	CHEMBL3336
Q9Y2R2	CHEMBL2889
P17706	CHEMBL3807
P26045	CHEMBL2396509
Q8R000	CHEMBL2073723
P29350	CHEMBL3166
P18433	CHEMBL3918
P23467	CHEMBL2706
P08575	CHEMBL3243
P10586	CHEMBL3521
P28827	CHEMBL4661
Q92729	CHEMBL1961785
P41217	CHEMBL3712870
Q8TDS5	CHEMBL1628461
O45307	CHEMBL3351210
P97926	CHEMBL3243907
P49653	CHEMBL2135
Q64663	CHEMBL2496
O00443	CHEMBL1075102
P13674	CHEMBL1250350
P04637	CHEMBL4096
P68402	CHEMBL4463
Q15102	CHEMBL5108
P04416	CHEMBL2366566
P47712	CHEMBL3816
Q9UP65	CHEMBL4834
P04055	CHEMBL5016
P97391	CHEMBL4167
Q9NZK7	CHEMBL2154
Q9BZM2	CHEMBL4278
Q9QZT4	CHEMBL5361
O15496	CHEMBL4342
Q8VEB4	CHEMBL3259497
Q86W56	CHEMBL1795143
P20083	CHEMBL3329081
Q53GL7	CHEMBL2429708
P55086	CHEMBL3734647
Q96RI0	CHEMBL4691
P02918	CHEMBL1813
Q96NT5	CHEMBL1795188
P12004	CHEMBL2346488
Q92824	CHEMBL2826
Q9Z2J6	CHEMBL2291
Q9Y233	CHEMBL4409
Q9QYJ6	CHEMBL6140
Q14123	CHEMBL4619
Q63421	CHEMBL2111322
P14099	CHEMBL3477
O00408	CHEMBL2652
Q01062	CHEMBL4650
Q14432	CHEMBL241
Q13946	CHEMBL3012
O54735	CHEMBL4567
Q96L73	CHEMBL3588738
P60900	CHEMBL3831201
Q99952	CHEMBL3351197
P29352	CHEMBL2157855
P29074	CHEMBL3165
P54829	CHEMBL2007628
P35234	CHEMBL2429710
P35236	CHEMBL2219
P43378	CHEMBL6117
P10451	CHEMBL1741309
Q15257	CHEMBL2505
Q64604	CHEMBL2834
P23470	CHEMBL4905
Q12913	CHEMBL3692
Q15256	CHEMBL3425390
Q13332	CHEMBL2396508
O43613	CHEMBL5113
Q19564	CHEMBL3351209
P30559	CHEMBL2049
P70536	CHEMBL3996
Q9H093	CHEMBL5698
P28066	CHEMBL3831201
Q9UKG9	CHEMBL2206
P04000	CHEMBL1949482
P60484	CHEMBL2052032
Q06124	CHEMBL3864
P35235	CHEMBL2620
Q7Z3E1	CHEMBL2380188
P35558	CHEMBL2911
Q63415	CHEMBL5507
Q9BQ51	CHEMBL3713006
Q9Y5Y4	CHEMBL5071
Q53EL6	CHEMBL1781868
Q9HCR9	CHEMBL2717
Q01064	CHEMBL4425
P14646	CHEMBL3382
Q08493	CHEMBL291
Q08499	CHEMBL288
Q01063	CHEMBL2111373
Q13370	CHEMBL290
Q28156	CHEMBL3478
O60658	CHEMBL4640
O95263	CHEMBL4408
P11541	CHEMBL3741
O43924	CHEMBL3860
P04085	CHEMBL3137294
P01127	CHEMBL3108633
Q15119	CHEMBL3861
P33302	CHEMBL1697658
O00764	CHEMBL1075181
P01213	CHEMBL2227
P20142	CHEMBL2136
Q63645	CHEMBL2429706
Q8NBP7	CHEMBL2929
Q9NZQ7	CHEMBL3580522
Q8CA95	CHEMBL1795126
P54750	CHEMBL3421
Q01066	CHEMBL2111322
P54748	CHEMBL2094267
Q07343	CHEMBL275
O77746	CHEMBL2304402
O76074	CHEMBL1827
O89084	CHEMBL2111373
P16499	CHEMBL3878
P07237	CHEMBL5422
Q15084	CHEMBL2146308
Q64536	CHEMBL2096663
O54937	CHEMBL2096663
P30557	CHEMBL4336
P32240	CHEMBL2489
Q9BZ95	CHEMBL3108646
P25787	CHEMBL3831201
P25788	CHEMBL3831201
P25789	CHEMBL3831201
Q8IYL9	CHEMBL3714081
P25105	CHEMBL250
Q62035	CHEMBL3993
P46002	CHEMBL4127
P26599	CHEMBL1293230
P51970	CHEMBL2363065
P33908	CHEMBL5915
P13533	CHEMBL3831286
Q8NEV4	CHEMBL5546
Q8WXR4	CHEMBL5654
P16435	CHEMBL2169731
P08373	CHEMBL5526
P32300	CHEMBL3222
P33534	CHEMBL4329
P34975	CHEMBL3614
P97266	CHEMBL4354
P42866	CHEMBL2858
P41146	CHEMBL2014
O15146	CHEMBL5684
P42346	CHEMBL1075134
P35377	CHEMBL3621
P22188	CHEMBL3309032
O97148	CHEMBL3309000
P9WIS7	CHEMBL3988584
P55157	CHEMBL2569
P48039	CHEMBL1945
P9WHH3	CHEMBL1075170
Q8VIJ5	CHEMBL3351213
Q8WXI7	CHEMBL3580482
P43121	CHEMBL3712863
P15941	CHEMBL3580494
P98088	CHEMBL3713020
Q13724	CHEMBL4684
P00540	CHEMBL1075184
Q01986	CHEMBL3430876
P46734	CHEMBL2109
Q01726	CHEMBL3795
Q01727	CHEMBL4077
Q8IXL7	CHEMBL3509604
Q8WXB1	CHEMBL3588741
P11137	CHEMBL2390810
Q3SYC2	CHEMBL2439944
Q6DT37	CHEMBL5615
Q92887	CHEMBL5748
P33533	CHEMBL269
P35372	CHEMBL233
Q9MYW9	CHEMBL5799
P02699	CHEMBL5739
Q96RD7	CHEMBL3779756
P13995	CHEMBL3621036
Q9JLN9	CHEMBL1255165
P49287	CHEMBL2566
O60502	CHEMBL5921
P78380	CHEMBL3421522
P0A749	CHEMBL1984
P53987	CHEMBL2073709
P36507	CHEMBL2964
P36506	CHEMBL3430876
P29952	CHEMBL3308954
Q63120	CHEMBL2073676
P41143	CHEMBL236
P41145	CHEMBL237
P79350	CHEMBL3041
P33535	CHEMBL270
P35370	CHEMBL4503
Q9BZ23	CHEMBL3407327
Q96RG2	CHEMBL6054
Q99836	CHEMBL5919
Q9H1R3	CHEMBL2777
Q02750	CHEMBL3587
P31938	CHEMBL5860
Q8VBX6	CHEMBL2176783
Q99549	CHEMBL1741210
O14733	CHEMBL3530
P20645	CHEMBL5788
P53602	CHEMBL4340
Q44238	CHEMBL4252
Q02083	CHEMBL4349
P9WHV7	CHEMBL6176
P43490	CHEMBL1744525
Q99KQ4	CHEMBL3259474
Q80W94	CHEMBL3603729
Q13421	CHEMBL3712878
Q9BV57	CHEMBL3817720
P0AF12	CHEMBL2866
P49286	CHEMBL1946
Q13585	CHEMBL3341577
O15527	CHEMBL3396944
Q15743	CHEMBL3713916
O15294	CHEMBL5955
P28494	CHEMBL2257
O95299	CHEMBL2363065
Q9P032	CHEMBL2363065
Q9UDY8	CHEMBL3632452
P41279	CHEMBL4899
P80192	CHEMBL2872
Q01662	CHEMBL2526
P38024	CHEMBL5312
Q9HUJ8	CHEMBL3390827
O02776	CHEMBL4279
Q2NL67	CHEMBL2380187
P70263	CHEMBL3933
P23439	CHEMBL2096979
P16586	CHEMBL3479
Q95142	CHEMBL2096979
P26435	CHEMBL4847
Q86UW1	CHEMBL2073724
P56718	CHEMBL1075232
Q9TUP7	CHEMBL3337331
P56719	CHEMBL1275216
O01739	CHEMBL3351211
O00398	CHEMBL3562166
Q15391	CHEMBL4518
P49652	CHEMBL5720
O35811	CHEMBL2124
P54001	CHEMBL3301
P54904	CHEMBL2242730
P9WP01	CHEMBL1169594
Q05097	CHEMBL3351196
P00602	CHEMBL3968
Q9QUL3	CHEMBL4201
Q59961	CHEMBL2363033
Q9QYM2	CHEMBL3317337
Q79EC5	CHEMBL3313836
P14100	CHEMBL3774
P14644	CHEMBL2094267
Q9NP56	CHEMBL4716
O89085	CHEMBL2366459
Q14973	CHEMBL5287
P10098	CHEMBL2366465
P40750	CHEMBL3112382
Q01061	CHEMBL2650
P70453	CHEMBL2040702
P26294	CHEMBL2366472
Q62053	CHEMBL2488
P14677	CHEMBL6188
Q6XKD3	CHEMBL1075112
Q13258	CHEMBL4427
Q3UEI1	CHEMBL2111373
Q28263	CHEMBL5151
O08705	CHEMBL2073713
P21556	CHEMBL5136
P27652	CHEMBL2303641
P02144	CHEMBL2406892
P0A752	CHEMBL3638351
P56181	CHEMBL2363065
P79291	CHEMBL4103
P47748	CHEMBL5492
P14900	CHEMBL4732
P0A091	CHEMBL4841
Q9BRQ5	CHEMBL3038476
Q9H999	CHEMBL3407328
Q86YV6	CHEMBL5426
Q9CQ65	CHEMBL2663
P52902	CHEMBL2366570
P52904	CHEMBL2366570
P17952	CHEMBL5168
O31211	CHEMBL4623
Q96SN7	CHEMBL3038476
P11880	CHEMBL2540
P0AF14	CHEMBL1250346
P51050	CHEMBL4466
Q5TC84	CHEMBL3638334
P00784	CHEMBL4779
Q2M385	CHEMBL3414409
P9WJM9	CHEMBL1744527
P54149	CHEMBL2007622
Q923M1	CHEMBL3509605
P9WPJ7	CHEMBL5631
Q9HZK1	CHEMBL3988593
P15319	CHEMBL3309037
Q836J0	CHEMBL5298
P63640	CHEMBL3854
P56068	CHEMBL6078
Q8CIP3	CHEMBL3341576
P9WPJ9	CHEMBL6068
P41144	CHEMBL3952
Q8NHB7	CHEMBL3721312
Q97RU8	CHEMBL4359
P55156	CHEMBL2934
P49285	CHEMBL2095154
P49288	CHEMBL3196
P49219	CHEMBL5495
P15840	CHEMBL4373
Q53685	CHEMBL3308957
Q9HVW7	CHEMBL1075208
Q4QXU5	CHEMBL3831324
Q9X034	CHEMBL1075031
P84058	CHEMBL4541
P61431	CHEMBL4089
P17443	CHEMBL3596078
Q04IS7	CHEMBL2366487
P01109	CHEMBL1250349
O60669	CHEMBL2073704
P9WMW7	CHEMBL1921665
Q96LB2	CHEMBL5850
Q8R4G1	CHEMBL3341575
Q96LB1	CHEMBL5849
B2RX12	CHEMBL2073683
Q03469	CHEMBL3353
P01103	CHEMBL2380186
P65502	CHEMBL2146295
