Entry	Taxonomic lineage IDs	Gene names
P14270	10116	Pde4d
Q8QZV1	10116	Pde9a
Q9EQT1	10116	Pdgfd Iegf Scdgfb
Q63065	10116	Pdk1 Pdh
Q64294	10116	Pdpn
Q63373	10116	Nrxn1
O35987	10116	Nsfl1c
P70582	10116	Nup54
Q63475	10116	Ptprn2
P00481	10116	Otc
O08617	10116	Ptprr Ptp
P49653	10116	P2rx2
Q64663	10116	P2rx7
Q99M64	10116	Pi4k2a Pi4kii
P17955	10116	Nup62
P35433	10116	Ppat
P04055	10116	Pla2g1b
P51433	10116	Pla2g5
Q920Q0	10116	Palm
P59996	10116	Pcsk9 Narc1
Q9QYJ6	10116	Pde10a
Q8VID6	10116	Pde11a
Q9JID1	10116	Pdcd4 Dug
G3V7W1	10116	Pdcd6 Alg2
Q63421	10116	Pde1c
Q01062	10116	Pde2a
O54735	10116	Pde5a Pde5
Q07310	10116	Nrxn3
Q566C7	10116	Nudt3 Dipp Dipp1
P41499	10116	Ptpn11
B0K011	10116	Osr1 Odd1
P35234	10116	Ptpn5
P04640	10116	Bglap Bglap2
Q64604	10116	Ptprf Lar
P04218	10116	Cd200 Mox2
P70536	10116	Oxtr Otr
Q9QUL6	10116	Nsf Erg1
P49793	10116	Nup98
P11466	10116	Crot Cot
Q9JKS6	10116	Pclo
Q63415	10116	Pcsk6 Pace4
Q78EH2	10116	Pcsk4 Nec-3 Nec3
P19836	10116	Pcyt1a Ctpct Pcyt1
P14646	10116	Pde4b
Q62865	10116	Pde3a
Q05028	10116	Pdgfb
Q9EQX6	10116	Pdgfc Scdgf
P28576	10116	Pdgfa Rpa1
O55173	10116	Pdpk1 Pdk1
Q63645	10116	F2rl1 Par2
O88767	10116	Park7 Cap1
Q9HB97	10116	Parva Actp
Q1HAQ0	10116	Lpcat1 Aytl2
D3ZE55	10116	Pcdh8
O35567	10116	Atic Purh
P63055	10116	Pcp4 Pep19
P41413	10116	Pcsk5
Q01066	10116	Pde1b Pde1b1
P54748	10116	Pde4a
Q63085	10116	Pde3b
P04785	10116	P4hb Pdia1
Q64536	10116	Pdk2
Q62920	10116	Pdlim5 Enh
O54937	10116	Pdk4
P52947	10116	Pdx1 Ipf1
Q5XI78	10116	Ogdh Ogdhl
P46002	10116	Ptafr
Q00438	10116	Ptbp1 Ptb Pybp Tbfii
Q9ERC1	10116	Myo16 Myr8 Nyap3
P20428	10116	Myog
P60203	10116	Plp1 Plp
P48768	10116	Slc8a2 Ncx2
Q9JIL9	10116	Nbn Nbs1
P34975	10116	Oprk1 Ror-d
Q8R5M4	10116	Optn
P60570	10116	Panx1 Px1
Q62838	10116	Musk
Q9JLT0	10116	Myh10
Q62774	10116	Myo1a Bbmi Myhl
P42346	10116	Mtor Frap1 Raft1
P51489	10116	Rho
Q6AXQ4	10116	Mtm1
Q8VIJ5	10116	Oga Hexc Mea5 Mgea5
Q63661	10116	Muc4 Smc
Q01986	10116	Map2k1 Mek1 Prkmk1
P33533	10116	Oprd1 Ror-a
P62775	10116	Mtpn Gcdp
P49287	10116	Mtnr1b Mt2
P56558	10116	Ogt
P02761	10116	
O70156	10116	Olr1 Lox1 Oldlr1
Q2TA68	10116	Opa1
P0CAX5	10116	Ophn1
P53987	10116	Slc16a1 Mct1
P36506	10116	Map2k2 Mek2 Mkk2 Prkmk2
Q9JIM0	10116	Mre11 Mre11a
Q63120	10116	Abcc2 Cmoat Cmrp Mrp2
P02631	10116	Ocm
P33535	10116	Oprm1 Ror-b
P35370	10116	Oprl1 Oor Oprl
P15146	10116	Map2 Mtap2
P70569	10116	Myo5b
Q8CHI5	10116	Per1
Q01728	10116	Slc8a1 Ncx1
P37361	10116	Mt3
O70249	10116	Ogg1 Mmh Ogh1
P28494	10116	Man2a1 Mana2
P07722	10116	Mag
P01179	10116	Oxt Ot
P01186	10116	Avp
Q9Z1P3	10116	Mcl1
P24528	10116	Mgmt
