Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -9.562466 0.0 -75.1305 10.8982 -38.5776 225.358 -1887.31 222.866 -1880.11 0.0 222.866 -1880.11 86.671 -75.1305 -1645.7035 35.8653 35.8653
0 1 -9.56953 0.0 -75.4111 10.8984 -38.6231 225.358 -1887.31 222.868 -1879.84 0.0 222.868 -1879.84 86.7612 -75.4111 -1645.6218 35.8152 35.8152
0 2 -9.567655 0.0 -75.3845 10.8989 -38.6134 225.358 -1887.31 222.868 -1879.84 0.0 222.868 -1879.84 86.7468 -75.3845 -1645.6096 35.8148 35.8148
0 3 -9.580605 0.0 -75.6407 10.8993 -38.6216 225.358 -1887.31 222.866 -1879.66 0.0 222.866 -1879.66 86.8366 -75.6407 -1645.5981 35.8304 35.8304
0 4 -9.576959 0.0 -75.5659 10.8998 -38.6147 225.358 -1887.31 222.867 -1879.71 0.0 222.867 -1879.71 86.8227 -75.5659 -1645.5862 35.8213 35.8213
0 5 -9.570042 0.0 -74.0434 10.9311 -36.3236 225.358 -1887.31 222.847 -1879.58 0.0 222.847 -1879.58 88.0995 -74.0434 -1642.6768 37.8422 37.8422
0 6 -9.890325 0.0 -85.073 11.0462 -39.8124 225.358 -1887.31 222.986 -1871.29 0.0 222.986 -1871.29 100.49 -85.073 -1632.8871 46.4533 46.4533
0 7 -9.901063 0.0 -85.3961 11.0453 -40.0641 225.358 -1887.31 222.993 -1871.23 0.0 222.993 -1871.23 100.774 -85.3961 -1632.859 46.5153 46.5153
1 0 -9.070401 0.0 -76.7389 10.8691 -37.4237 225.358 -1887.31 223.4 -1869.3 0.0 223.4 -1869.3 85.6257 -76.7389 -1637.0132 44.7738 44.7738
1 1 -9.078834 0.0 -76.7608 10.8675 -37.3887 225.358 -1887.31 223.412 -1869.39 0.0 223.412 -1869.39 85.761 -76.7608 -1636.9778 44.8215 44.8215
1 2 -9.03211 0.0 -78.1582 10.8827 -37.6536 225.358 -1887.31 223.588 -1866.98 0.0 223.588 -1866.98 84.9234 -78.1582 -1636.6268 44.8858 44.8858
1 3 -9.03211 0.0 -78.1582 10.8827 -37.6536 225.358 -1887.31 223.588 -1866.98 0.0 223.588 -1866.98 84.9234 -78.1582 -1636.6268 44.8858 44.8858
1 4 -9.005128 0.0 -76.6357 10.8652 -37.9813 225.358 -1887.31 223.441 -1869.02 0.0 223.441 -1869.02 85.8136 -76.6357 -1636.4011 45.1965 45.1965
1 5 -8.994857 0.0 -78.3565 10.8782 -37.9662 225.358 -1887.31 223.624 -1866.44 0.0 223.624 -1866.44 85.1851 -78.3565 -1635.9873 45.22 45.22
1 6 -8.994857 0.0 -78.3565 10.8782 -37.9662 225.358 -1887.31 223.624 -1866.44 0.0 223.624 -1866.44 85.1851 -78.3565 -1635.9873 45.22 45.22
1 7 -8.971762 0.0 -78.9916 10.8695 -38.4137 225.358 -1887.31 223.694 -1865.65 0.0 223.694 -1865.65 85.7077 -78.9916 -1635.24 45.6098 45.6098
2 0 -8.171883 0.0 -65.2651 10.8075 -36.7854 225.358 -1887.31 224.124 -1872.93 0.0 224.124 -1872.93 82.321 -65.2651 -1631.7501 49.4695 49.4695
2 1 -8.179169 0.0 -65.4377 10.8025 -36.9453 225.358 -1887.31 224.124 -1872.95 0.0 224.124 -1872.95 82.5201 -65.4377 -1631.7435 49.4775 49.4775
2 2 -8.171327 0.0 -65.5939 10.8067 -36.8899 225.358 -1887.31 224.125 -1872.52 0.0 224.125 -1872.52 82.2701 -65.5939 -1631.7189 49.4418 49.4418
2 3 -8.46343 0.0 -66.0547 10.7768 -36.8415 225.358 -1887.31 224.223 -1876.73 0.0 224.223 -1876.73 86.9856 -66.0547 -1631.576 51.7401 51.7401
2 4 -8.46343 0.0 -66.0547 10.7768 -36.8415 225.358 -1887.31 224.223 -1876.73 0.0 224.223 -1876.73 86.9856 -66.0547 -1631.576 51.7401 51.7401
2 5 -8.46343 0.0 -66.0547 10.7768 -36.8415 225.358 -1887.31 224.223 -1876.73 0.0 224.223 -1876.73 86.9856 -66.0547 -1631.576 51.7401 51.7401
2 6 -8.46343 0.0 -66.0547 10.7768 -36.8415 225.358 -1887.31 224.223 -1876.73 0.0 224.223 -1876.73 86.9856 -66.0547 -1631.576 51.7401 51.7401
2 7 -8.483306 0.0 -65.7536 10.7808 -36.8393 225.358 -1887.31 224.183 -1877.45 0.0 224.183 -1877.45 87.5048 -65.7536 -1631.5157 51.9069 51.9069
2 8 -8.483306 0.0 -65.7536 10.7808 -36.8393 225.358 -1887.31 224.183 -1877.45 0.0 224.183 -1877.45 87.5048 -65.7536 -1631.5157 51.9069 51.9069
2 9 -8.483306 0.0 -65.7536 10.7808 -36.8393 225.358 -1887.31 224.183 -1877.45 0.0 224.183 -1877.45 87.5048 -65.7536 -1631.5157 51.9069 51.9069
2 10 -8.488407 0.0 -65.794 10.7857 -36.7438 225.358 -1887.31 224.165 -1877.34 0.0 224.165 -1877.34 87.5806 -65.794 -1631.3883 52.0142 52.0142
2 11 -8.266366 0.0 -67.7796 10.9172 -37.4993 225.358 -1887.31 224.453 -1871.64 0.0 224.453 -1871.64 92.813 -67.7796 -1622.1536 59.0978 59.0978
2 12 -8.238042 0.0 -67.8 10.9238 -37.5582 225.358 -1887.31 224.489 -1871.25 0.0 224.489 -1871.25 92.4955 -67.8 -1622.0654 59.0853 59.0853
3 0 -6.961388 0.0 -29.9881 10.8654 -37.3371 225.358 -1887.31 226.419 -1911.69 0.0 226.419 -1911.69 83.8148 -29.9881 -1631.4443 52.8769 52.8769
3 1 -6.96431 0.0 -30.0976 10.8664 -37.3442 225.358 -1887.31 226.41 -1911.56 0.0 226.41 -1911.56 83.8073 -30.0976 -1631.4403 52.8766 52.8766
3 2 -6.96431 0.0 -30.0976 10.8664 -37.3442 225.358 -1887.31 226.41 -1911.56 0.0 226.41 -1911.56 83.8073 -30.0976 -1631.4403 52.8766 52.8766
3 3 -6.963063 0.0 -29.9399 10.8641 -37.3334 225.358 -1887.31 226.406 -1911.77 0.0 226.406 -1911.77 83.8778 -29.9399 -1631.4261 52.8974 52.8974
