Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -8.142807 0.0 -46.2161 7.29756 -10.8098 225.358 -1887.31 224.027 -1881.2 0.0 224.027 -1881.2 28.3632 -46.2161 -1675.0259 4.02624 4.02624
0 1 -8.14656 0.0 -46.2211 7.29967 -10.8188 225.358 -1887.31 224.021 -1881.25 0.0 224.021 -1881.25 28.4259 -46.2211 -1675.0242 4.0064 4.0064
0 2 -8.14656 0.0 -46.2211 7.29967 -10.8188 225.358 -1887.31 224.021 -1881.25 0.0 224.021 -1881.25 28.4259 -46.2211 -1675.0242 4.0064 4.0064
0 3 -8.14656 0.0 -46.2211 7.29967 -10.8188 225.358 -1887.31 224.021 -1881.25 0.0 224.021 -1881.25 28.4259 -46.2211 -1675.0242 4.0064 4.0064
0 4 -8.142641 0.0 -46.1947 7.29726 -10.8098 225.358 -1887.31 224.02 -1881.22 0.0 224.02 -1881.22 28.3758 -46.1947 -1675.0188 4.01622 4.01622
0 5 -8.142641 0.0 -46.1947 7.29726 -10.8098 225.358 -1887.31 224.02 -1881.22 0.0 224.02 -1881.22 28.3758 -46.1947 -1675.0188 4.01622 4.01622
0 6 -8.142641 0.0 -46.1947 7.29726 -10.8098 225.358 -1887.31 224.02 -1881.22 0.0 224.02 -1881.22 28.3758 -46.1947 -1675.0188 4.01622 4.01622
0 7 -8.142641 0.0 -46.1947 7.29726 -10.8098 225.358 -1887.31 224.02 -1881.22 0.0 224.02 -1881.22 28.3758 -46.1947 -1675.0188 4.01622 4.01622
0 8 -8.187091 0.0 -48.6825 7.40153 -10.8062 225.358 -1887.31 223.725 -1877.48 0.0 223.725 -1877.48 28.7655 -48.6825 -1673.672 4.74564 4.74564
0 9 -8.010321 0.0 -43.6183 7.3681 -11.5079 225.358 -1887.31 224.163 -1883.85 0.0 224.163 -1883.85 30.0134 -43.6183 -1673.2919 6.45914 6.45914
0 10 -8.010321 0.0 -43.6183 7.3681 -11.5079 225.358 -1887.31 224.163 -1883.85 0.0 224.163 -1883.85 30.0134 -43.6183 -1673.2919 6.45914 6.45914
0 11 -8.009714 0.0 -43.6753 7.36618 -11.5099 225.358 -1887.31 224.165 -1883.76 0.0 224.165 -1883.76 30.0174 -43.6753 -1673.2529 6.46884 6.46884
0 12 -8.009714 0.0 -43.6753 7.36618 -11.5099 225.358 -1887.31 224.165 -1883.76 0.0 224.165 -1883.76 30.0174 -43.6753 -1673.2529 6.46884 6.46884
0 13 -8.009714 0.0 -43.6753 7.36618 -11.5099 225.358 -1887.31 224.165 -1883.76 0.0 224.165 -1883.76 30.0174 -43.6753 -1673.2529 6.46884 6.46884
0 14 -8.009714 0.0 -43.6753 7.36618 -11.5099 225.358 -1887.31 224.165 -1883.76 0.0 224.165 -1883.76 30.0174 -43.6753 -1673.2529 6.46884 6.46884
0 15 -7.985911 0.0 -43.9164 7.33896 -11.4983 225.358 -1887.31 224.211 -1883.1 0.0 224.211 -1883.1 29.7707 -43.9164 -1673.0347 6.64413 6.64413
0 16 -7.985911 0.0 -43.9164 7.33896 -11.4983 225.358 -1887.31 224.211 -1883.1 0.0 224.211 -1883.1 29.7707 -43.9164 -1673.0347 6.64413 6.64413
0 17 -7.8668027 0.0 -42.8944 7.28496 -11.4993 225.358 -1887.31 224.167 -1882.75 0.0 224.167 -1882.75 29.4182 -42.8944 -1672.0592 7.35448 7.35448
0 18 -7.8668027 0.0 -42.8944 7.28496 -11.4993 225.358 -1887.31 224.167 -1882.75 0.0 224.167 -1882.75 29.4182 -42.8944 -1672.0592 7.35448 7.35448
0 19 -7.860336 0.0 -41.5358 7.40606 -11.6128 225.358 -1887.31 224.076 -1884.53 0.0 224.076 -1884.53 30.5387 -41.5358 -1671.451 7.60427 7.60427
0 20 -7.7331758 0.0 -41.026 7.25839 -11.4754 225.358 -1887.31 224.14 -1883.43 0.0 224.14 -1883.43 29.3768 -41.026 -1670.9392 8.32324 8.32324
0 21 -7.7331758 0.0 -41.026 7.25839 -11.4754 225.358 -1887.31 224.14 -1883.43 0.0 224.14 -1883.43 29.3768 -41.026 -1670.9392 8.32324 8.32324
0 22 -7.7331758 0.0 -41.026 7.25839 -11.4754 225.358 -1887.31 224.14 -1883.43 0.0 224.14 -1883.43 29.3768 -41.026 -1670.9392 8.32324 8.32324
0 23 -7.7331758 0.0 -41.026 7.25839 -11.4754 225.358 -1887.31 224.14 -1883.43 0.0 224.14 -1883.43 29.3768 -41.026 -1670.9392 8.32324 8.32324
0 24 -7.681324 0.0 -40.2874 7.25277 -11.4691 225.358 -1887.31 224.142 -1883.73 0.0 224.142 -1883.73 29.2597 -40.2874 -1670.6157 8.64831 8.64831
0 25 -7.681324 0.0 -40.2874 7.25277 -11.4691 225.358 -1887.31 224.142 -1883.73 0.0 224.142 -1883.73 29.2597 -40.2874 -1670.6157 8.64831 8.64831
1 0 -7.9417443 0.0 -40.5972 7.34797 -11.5035 225.358 -1887.31 224.282 -1887.61 0.0 224.282 -1887.61 30.5009 -40.5972 -1673.4243 7.80994 7.80994
1 1 -7.9417443 0.0 -40.5972 7.34797 -11.5035 225.358 -1887.31 224.282 -1887.61 0.0 224.282 -1887.61 30.5009 -40.5972 -1673.4243 7.80994 7.80994
1 2 -7.917927 0.0 -40.4523 7.3449 -11.5076 225.358 -1887.31 224.312 -1887.5 0.0 224.312 -1887.5 30.4206 -40.4523 -1673.2197 8.07609 8.07609
1 3 -7.917927 0.0 -40.4523 7.3449 -11.5076 225.358 -1887.31 224.312 -1887.5 0.0 224.312 -1887.5 30.4206 -40.4523 -1673.2197 8.07609 8.07609
1 4 -7.917927 0.0 -40.4523 7.3449 -11.5076 225.358 -1887.31 224.312 -1887.5 0.0 224.312 -1887.5 30.4206 -40.4523 -1673.2197 8.07609 8.07609
1 5 -7.9162292 0.0 -40.2838 7.35405 -11.4946 225.358 -1887.31 224.289 -1887.67 0.0 224.289 -1887.67 30.507 -40.2838 -1673.158 8.13871 8.13871
1 6 -7.9162292 0.0 -40.2838 7.35405 -11.4946 225.358 -1887.31 224.289 -1887.67 0.0 224.289 -1887.67 30.507 -40.2838 -1673.158 8.13871 8.13871
