Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -8.519956 0.0 -54.9372 7.35255 -11.7288 225.358 -1887.31 223.331 -1873.64 0.0 223.331 -1873.64 27.9497 -54.9372 -1677.2966 7.88187 7.88187
0 1 -8.510835 0.0 -54.8606 7.34698 -11.7361 225.358 -1887.31 223.347 -1873.65 0.0 223.347 -1873.65 27.8824 -54.8606 -1677.2811 7.86583 7.86583
0 2 -8.502244 0.0 -54.78 7.3479 -11.7271 225.358 -1887.31 223.351 -1873.63 0.0 223.351 -1873.63 27.8732 -54.78 -1677.1859 7.89574 7.89574
0 3 -8.325344 0.0 -51.3218 7.43944 -11.3405 225.358 -1887.31 222.939 -1874.92 0.0 222.939 -1874.92 27.5628 -51.3218 -1675.7401 7.54016 7.54016
0 4 -8.325914 0.0 -51.333 7.44029 -11.3414 225.358 -1887.31 222.925 -1874.89 0.0 222.925 -1874.89 27.5759 -51.333 -1675.722 7.53042 7.53042
0 5 -8.325914 0.0 -51.333 7.44029 -11.3414 225.358 -1887.31 222.925 -1874.89 0.0 222.925 -1874.89 27.5759 -51.333 -1675.722 7.53042 7.53042
0 6 -8.323952 0.0 -51.3384 7.44614 -11.3319 225.358 -1887.31 222.892 -1874.78 0.0 222.892 -1874.78 27.5668 -51.3384 -1675.6597 7.51444 7.51444
1 0 -8.197523 0.0 -47.6909 7.3927 -12.4957 225.358 -1887.31 223.805 -1881.01 0.0 223.805 -1881.01 28.7564 -47.6909 -1676.1394 7.11483 7.11483
1 1 -8.020035 0.0 -43.7212 7.30847 -12.0098 225.358 -1887.31 223.656 -1883.66 0.0 223.656 -1883.66 28.9758 -43.7212 -1674.7494 8.09643 8.09643
1 2 -8.014162 0.0 -43.6767 7.30779 -12.0028 225.358 -1887.31 223.658 -1883.63 0.0 223.658 -1883.63 28.9976 -43.6767 -1674.6511 8.12685 8.12685
1 3 -8.034992 0.0 -46.3624 7.38819 -12.4351 225.358 -1887.31 223.964 -1880.6 0.0 223.964 -1880.6 28.4149 -46.3624 -1674.5835 9.19813 9.19813
1 4 -8.039944 0.0 -44.719 7.31952 -13.1205 225.358 -1887.31 223.38 -1883.11 0.0 223.38 -1883.11 30.33 -44.719 -1674.119 7.86326 7.86326
1 5 -8.030074 0.0 -44.3994 7.32236 -13.1301 225.358 -1887.31 223.349 -1883.4 0.0 223.349 -1883.4 30.3662 -44.3994 -1674.0842 7.90767 7.90767
1 6 -7.706597 0.0 -42.3675 7.35658 -12.4808 225.358 -1887.31 225.042 -1883.17 0.0 225.042 -1883.17 28.5122 -42.3675 -1671.9834 13.2875 13.2875
1 7 -7.7110953 0.0 -41.9076 7.27426 -13.0662 225.358 -1887.31 223.653 -1882.52 0.0 223.653 -1882.52 29.6424 -41.9076 -1671.1323 9.94718 9.94718
2 0 -8.0247 0.0 -43.7115 7.3363 -11.4742 225.358 -1887.31 223.609 -1883.1 0.0 223.609 -1883.1 27.1858 -43.7115 -1676.0167 9.1198 9.1198
2 1 -8.0247 0.0 -43.7115 7.3363 -11.4742 225.358 -1887.31 223.609 -1883.1 0.0 223.609 -1883.1 27.1858 -43.7115 -1676.0167 9.1198 9.1198
2 2 -8.031818 0.0 -43.4547 7.35387 -11.4819 225.358 -1887.31 223.613 -1883.6 0.0 223.613 -1883.6 27.4499 -43.4547 -1675.9917 9.21225 9.21225
2 3 -8.031818 0.0 -43.4547 7.35387 -11.4819 225.358 -1887.31 223.613 -1883.6 0.0 223.613 -1883.6 27.4499 -43.4547 -1675.9917 9.21225 9.21225
