From src:'1'	To src:'3'
CHEMBL566581	FM9
CHEMBL516214	N8M
CHEMBL25101	GYY
CHEMBL2323526	IKM
CHEMBL461242	1X2
CHEMBL1201356	H8D
CHEMBL88804	UN1
CHEMBL2221214	16B
CHEMBL606039	51P
CHEMBL129795	HCC
CHEMBL3088172	VMY
CHEMBL109227	BDB
CHEMBL3763864	5U4
CHEMBL28885	OSE
CHEMBL2338810	1NS
CHEMBL403772	PTB
CHEMBL2059002	2B4
CHEMBL295830	AC5
CHEMBL2152431	S29
CHEMBL402315	SX6
CHEMBL1650602	53B
CHEMBL2171088	0LL
CHEMBL362592	MMI
CHEMBL3798446	6YQ
CHEMBL279107	I3P
CHEMBL551043	AJI
CHEMBL332686	74U
CHEMBL262628	TUO
CHEMBL301769	PMD
CHEMBL510760	JI2
CHEMBL2152252	O92
CHEMBL3120364	2T7
CHEMBL2431465	2AY
CHEMBL1230056	376
CHEMBL2172072	0T0
CHEMBL15580	MSM
CHEMBL1751	DGX
CHEMBL1092952	G58
CHEMBL1090	RAB
CHEMBL66115	DCZ
CHEMBL1081840	KBT
CHEMBL1188176	XM0
CHEMBL82411	IAC
CHEMBL3431606	0RK
CHEMBL343437	6TV
CHEMBL3808633	68T
CHEMBL379916	BSX
CHEMBL434374	NC6
CHEMBL32189	APY
CHEMBL577784	BX7
CHEMBL427421	993
CHEMBL172988	8PF
CHEMBL3298889	676
CHEMBL221735	373
CHEMBL2151138	13W
CHEMBL3318920	KTZ
CHEMBL373937	K17
CHEMBL2063255	TH9
CHEMBL2426453	G79
CHEMBL298461	YAN
CHEMBL3121221	1NZ
CHEMBL6594	W54
CHEMBL2396719	N75
CHEMBL155405	LLM
CHEMBL1256760	A8Z
CHEMBL3422239	SI6
CHEMBL82235	AB8
CHEMBL3628627	XYW
CHEMBL444173	9EW
CHEMBL3928407	77C
CHEMBL1586017	57Q
CHEMBL3971182	65Z
CHEMBL113334	NFX
CHEMBL3402235	3C5
CHEMBL124267	HDH
CHEMBL163022	485
CHEMBL36715	PZI
CHEMBL1615183	QAR
CHEMBL3581529	3SN
CHEMBL1232724	FG3
CHEMBL47181	PGA
CHEMBL1615188	QJZ
CHEMBL358850	LAC
CHEMBL559569	DGW
CHEMBL134342	LPA
CHEMBL1438938	OUL
CHEMBL575383	3F8
CHEMBL2436015	25K
CHEMBL448301	8V3
CHEMBL3818084	DZ0
CHEMBL2	XRA
CHEMBL1231509	BUL
CHEMBL2337032	IA9
CHEMBL1210329	XFI
CHEMBL492254	G55
CHEMBL589137	RO5
CHEMBL11722	HSE
CHEMBL2440208	HRC
CHEMBL369794	3LT
CHEMBL1076165	QEJ
CHEMBL2071364	8P6
CHEMBL57267	TFX
CHEMBL90403	BTP
CHEMBL321944	UI3
CHEMBL257991	SR7
CHEMBL365468	FA3
CHEMBL55743	5CR
CHEMBL2440218	JAF
CHEMBL3344081	3JF
CHEMBL278390	ICB
CHEMBL352764	AO5
CHEMBL515774	I24
CHEMBL2069346	0SB
CHEMBL1162355	ZDA
CHEMBL1234524	MUS
CHEMBL282896	E8S
CHEMBL2418558	AWH
CHEMBL3770903	3TE
CHEMBL14282	NIT
CHEMBL1235570	QNO
CHEMBL403756	GNL
CHEMBL311389	CKA
CHEMBL3109933	7RO
CHEMBL2151181	0V6
CHEMBL2431802	1UZ
CHEMBL87277	BMU
CHEMBL1615152	OMM
CHEMBL2027833	IT5
CHEMBL3235533	BNQ
CHEMBL3088227	1DZ
CHEMBL595554	6J9
CHEMBL114388	CIX
CHEMBL1645255	0M4
CHEMBL458803	IK4
CHEMBL551212	ON1
CHEMBL1271706	IDQ
CHEMBL3330255	1PH
CHEMBL200102	H71
CHEMBL94394	A4Z
