From src:'3'	To src:'22'
6QR	137348512
1HE	54758648
NIG	439233
HXD	5312804
N6R	44186771
2MG	136242937
LEU	7045798
LEU	6106
H6Z	137349489
XIX	15078
B49	5329102
3L0	76286478
BQ2	16769566
6MK	132526004
2BR	7244
FDM	447405
W29	24875311
4N9	137348266
CR6	445723
3PT	60138181
7G4	11020720
DR4	5326972
EQD	132992920
BAS	446532
7EB	124081759
POA	490
2CX	1367681
0KJ	57411978
E8G	127042772
VDX	5280453
SOS	137350016
WST	16750074
6ZC	82398
8X3	7866
FTR	688357
FTR	6921698
FRD	32893
NMX	5289039
ZDP	6857729
6TH	129012067
A	6083
5QE	118987006
15P	16755630
1BY	406401
23L	73386661
KNV	137530126
6UQ	137348527
A6N	137348899
HSP	9543426
NEN	16842
0JW	72200861
6AF	137348442
19J	135566780
3VK	137348181
MPI	444231
01X	57915452
9AD	128962
Y09	16420151
QK0	50990924
VC3	2737071
879	11561538
1P7	12496475
7TA	129010129
6VF	137348533
P29	24779678
LIR	60206639
LIR	49867240
D92	24752832
3HF	51000417
EXO	16122560
8JX	134158374
KW1	2813818
11Z	192796
FUY	44552577
9XY	10090750
HGU	80668
L0G	135566362
IAA	11840955
N23	588963
M41	56947161
7GP	6852181
4K4	46843906
AVG	446250
RL1	136498887
1R2	73659124
F8V	57686268
BFG	52914846
2OJ	66554643
ECV	118599727
DB9	11221963
HVG	16062593
MJ7	137796783
3V7	62401663
FC8	2794188
XMA	446331
B00	66545742
DWP	134693800
PC8	5313816
6YJ	89709256
EWV	160876
FSK	51038917
DNG	49866912
4CK	5330976
6WR	123133750
2OO	72725813
DAW	51371085
ZED	3034048
0Y9	10261098
0Y9	25792364
4XS	54595731
NR1	137349806
YA2	74331694
O27	46947824
LEI	6926437
LEI	5852
995	6857702
27C	54669588
PNY	439322
82F	6604853
2JN	10510975
CM6	16214776
LDE	53245724
1FN	21081761
28S	1560402
DK7	131800993
58Q	117636649
CPR	17753915
AL3	4369103
BTH	5287849
0YG	49866390
CCN	6342
59J	137348329
A4B	114076549
FIL	9578243
XM5	124075
THH	135398561
30I	135393474
30I	137348111
IUR	69672
TSN	444732
ILT	150552
URA	1174
E82	134158405
PNG	92969
4G2	49835937
XK9	118037514
XK9	57547754
37A	11987860
709	6852140
6QH	60148521
29X	72706110
G80	16058645
SXX	637775
LWW	66609622
CXW	56835763
S0F	727750
JGQ	90467622
440	23627203
C1Z	135398629
C1Z	38166
TDU	53346504
7NH	15942655
UAD	11272619
AK3	15602701
X75	57519667
ICL	5288602
F7E	135398621
GRI	137349449
PJE	23559815
THG	135398650
CE3	5742673
O	962
O	22247451
5ID	97297
G83	137349407
X9Q	49867839
C3K	137349048
FOV	134821994
GYU	24779679
6CJ	122172828
OBB	118988344
1AZ	657868
XH2	73441656
6DR	57149549
G9L	9924905
KNP	15223607
4WQ	118655862
PR6	12197746
NU6	122199241
36G	808207
2T2	73010399
0A9	736234
68E	121232416
AG3	541551
BUM	445856
87Y	135509072
MRO	71816172
FMA	5288220
603	118797896
7FF	5312074
CIE	56160
261	66755
SS1	443135
7JL	135567270
V5X	16750122
3RL	5281727
MXT	19989057
2DT	165151
S2M	49867625
J6Z	49867167
1BT	70680457
RPO	71627367
CK4	447958
241	9958543
5FN	49866531
IZ3	49867163
129	446273
MS7	14505567
6JQ	137348472
D04	53389268
SL1	49867654
8JQ	129009684
ATD	49866648
2W6	74983355
RAF	439242
TV2	68106001
F3E	598777
0O9	137347876
00B	40507285
00B	5715192
8O0	185159
KSH	49867206
066	9827968
GPW	56603816
QZE	91801128
GO8	597624
31F	135566660
8D6	81689726
0ZI	137347919
MYY	448910
TFP	5566
KV1	72725792
OAM	1472726
BL0	23653536
PB8	24997667
BO1	16122563
D36	53308639
2V6	51031042
IMM	447835
MH9	5312382
ZDU	49867900
7PJ	135567305
ITB	11660035
UBE	16125102
158	5287427
3AQ	26548
GAJ	6102777
30F	137348110
5H4	72725801
0XA	71677787
67D	121225437
MT4	11857949
20L	7021744
8U4	17071124
2UF	6857417
DFB	447153
D2K	6481086
AJB	9819610
6KE	135567178
EC4	134821714
7LD	5761
DDA	444061
MY9	16741230
4OU	118195912
BX4	112499923
5SO	118988420
BEL	5287756
5WS	105539873
439	50919255
GOI	137349443
1EL	49866419
3NJ	86306052
9SW	132274387
41W	112499878
6UD	137348526
E24	7928084
A7Z	137348907
L4T	42601552
SA1	11840981
6W0	51049245
PRU	91799587
1LU	83697
17C	11371
2MV	44602354
6FN	44568060
G0W	10372410
KDH	65064
