Entry	Entry name	Gene names	EC number
Q13228	SBP1_HUMAN	SELENBP1 SBP	1.8.3.4
P04179	SODM_HUMAN	SOD2	1.15.1.1
P61647	SIA8F_HUMAN	ST8SIA6 SIAT8F	2.4.99.-
Q9H6E5	STPAP_HUMAN	TUT1 RBM21	2.7.7.19; 2.7.7.52
Q8N2I9	STK40_HUMAN	STK40 SGK495 SHIK	2.7.11.1
Q9C026	TRIM9_HUMAN	TRIM9 KIAA0282 RNF91	2.3.2.27
Q9NRS4	TMPS4_HUMAN	TMPRSS4 TMPRSS3 UNQ776/PRO1570	3.4.21.-
Q9Y577	TRI17_HUMAN	TRIM17 RBCC RNF16 TERF	2.3.2.27
Q9UKU6	TRHDE_HUMAN	TRHDE UNQ2507/PRO5995	3.4.19.6
Q9BXA7	TSSK1_HUMAN	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81	2.7.11.1
Q6PHR2	ULK3_HUMAN	ULK3	2.7.11.1
O75191	XYLB_HUMAN	XYLB	2.7.1.17
P12956	XRCC6_HUMAN	XRCC6 G22P1	3.6.4.-; 4.2.99.-
Q8IUH4	ZDH13_HUMAN	ZDHHC13 HIP14L HIP3RP	2.3.1.225
Q5D1E8	ZC12A_HUMAN	ZC3H12A MCPIP MCPIP1	3.1.-.-
Q6ZRP7	QSOX2_HUMAN	QSOX2 QSCN6L1 SOXN	1.8.3.2
P36897	TGFR1_HUMAN	TGFBR1 ALK5 SKR4	2.7.11.30
Q9H5Q4	TFB2M_HUMAN	TFB2M NS5ATP5	2.1.1.-
Q9HCM9	TRI39_HUMAN	TRIM39 RNF23 TFP	2.3.2.27
O00635	TRI38_HUMAN	TRIM38 RNF15 RORET	2.3.2.27
Q9UJV3	TRIM1_HUMAN	MID2 FXY2 RNF60 TRIM1	2.3.2.27
Q06418	TYRO3_HUMAN	TYRO3 BYK DTK RSE SKY TIF	2.7.10.1
Q96PN8	TSSK3_HUMAN	TSSK3 SPOGA3 STK22C	2.7.11.1
P35030	TRY3_HUMAN	PRSS3 PRSS4 TRY3 TRY4	3.4.21.4
Q2T9J0	TYSD1_HUMAN	TYSND1	3.4.21.-
O75604	UBP2_HUMAN	USP2 UBP41	3.4.19.12
Q05086	UBE3A_HUMAN	UBE3A E6AP EPVE6AP HPVE6A	2.3.2.26
Q96B02	UBE2W_HUMAN	UBE2W UBC16	2.3.2.23; 2.3.2.25
P51784	UBP11_HUMAN	USP11 UHX1	3.4.19.12
Q9UPT9	UBP22_HUMAN	USP22 KIAA1063 USP3L	3.4.19.12
Q8NBZ7	UXS1_HUMAN	UXS1 UNQ2538/PRO6079	4.1.1.35
P08842	STS_HUMAN	STS ARSC1	3.1.6.2
Q15208	STK38_HUMAN	STK38 NDR1	2.7.11.1
P49842	STK19_HUMAN	STK19 G11 RP1	2.7.11.1
O95363	SYFM_HUMAN	FARS2 FARS1 HSPC320	6.1.1.20
Q8TDR2	STK35_HUMAN	STK35 CLIK1 PDIK1 STK35L1	2.7.11.1
P21980	TGM2_HUMAN	TGM2	2.3.2.13
