Entry	Entry name	Gene names
Q9NYW3	TA2R7_HUMAN	TAS2R7
Q969N4	TAAR8_HUMAN	TAAR8 GPR102 TA5 TAR5 TRAR5
P59541	T2R30_HUMAN	TAS2R30 TAS2R47
P59539	T2R45_HUMAN	TAS2R45 GPR59
Q9NYW4	TA2R5_HUMAN	TAS2R5
Q9NYW1	TA2R9_HUMAN	TAS2R9
P30872	SSR1_HUMAN	SSTR1
Q9BXA5	SUCR1_HUMAN	SUCNR1 GPR91
Q7RTX1	TS1R1_HUMAN	TAS1R1 GPR70 T1R1 TR1 GM148
P0DTE0	T2R36_HUMAN	TAS2R36
P32241	VIPR1_HUMAN	VIPR1
Q8NG81	OR2M7_HUMAN	OR2M7
Q9Y3N9	OR2W1_HUMAN	OR2W1
Q8NGY0	O10X1_HUMAN	OR10X1 OR10X1P
A6NL26	OR5BL_HUMAN	OR5B21
Q8NGX8	OR6Y1_HUMAN	OR6Y1 OR6Y2
Q8NGS7	O13C8_HUMAN	OR13C8
Q8NGT2	O13J1_HUMAN	OR13J1
A6NIJ9	O6C70_HUMAN	OR6C70
Q8NGK2	O52B4_HUMAN	OR52B4
O43749	OR1F1_HUMAN	OR1F1 OLFMF OR1F10 OR1F4 OR1F5 OR1F6 OR1F7 OR1F8 OR1F9
P58170	OR1D5_HUMAN	OR1D5
Q8NGP9	O5AR1_HUMAN	OR5AR1
P47890	OR1G1_HUMAN	OR1G1 OR1G2
Q8NGQ1	OR9G4_HUMAN	OR9G4
Q9NYW2	TA2R8_HUMAN	TAS2R8
Q8NGT1	OR2K2_HUMAN	OR2K2 OR2AR1P
Q8NGC3	O10G2_HUMAN	OR10G2
Q8NGM1	OR4CF_HUMAN	OR4C15
Q8NH06	OR1P1_HUMAN	OR1P1 OR1P1P
P59537	T2R43_HUMAN	TAS2R43
Q9NYW7	TA2R1_HUMAN	TAS2R1
Q96RJ0	TAAR1_HUMAN	TAAR1 TA1 TAR1 TRAR1
P47901	V1BR_HUMAN	AVPR1B AVPR3 VPR3
Q7Z5H5	VN1R4_HUMAN	VN1R4 V1RL4
Q7Z5H4	VN1R5_HUMAN	VN1R5 V1RL5
P59535	T2R40_HUMAN	TAS2R40 GPR60
Q9HBX9	RXFP1_HUMAN	RXFP1 LGR7
P59542	T2R19_HUMAN	TAS2R19 TAS2R23 TAS2R48
Q9NYV9	T2R13_HUMAN	TAS2R13
P30874	SSR2_HUMAN	SSTR2
P59536	T2R41_HUMAN	TAS2R41
P37288	V1AR_HUMAN	AVPR1A AVPR1
Q9BXE9	VN1R3_HUMAN	VN1R3 V1RL3 FKSG46
Q9P1P5	TAAR2_HUMAN	TAAR2 GPR58
P41587	VIPR2_HUMAN	VIPR2 VIP2R
Q8NFZ6	VN1R2_HUMAN	VN1R2 V1RL2
Q8NGM9	OR8D4_HUMAN	OR8D4
O95977	S1PR4_HUMAN	S1PR4 EDG6
Q7RTX0	TS1R3_HUMAN	TAS1R3 T1R3 TR3
Q9P1P4	TAAR3_HUMAN	TAAR3P GPR57 TAAR3
P34981	TRFR_HUMAN	TRHR
P59544	T2R50_HUMAN	TAS2R50
P30518	V2R_HUMAN	AVPR2 ADHR DIR DIR3 V2R
Q8TDU5	VNRL4_HUMAN	VN1R17P VNRL4
Q9NYV7	T2R16_HUMAN	TAS2R16
Q9GZP7	VN1R1_HUMAN	VN1R1 V1RL1 VNR19I1
P0DSN6	T2R33_HUMAN	TAS2R33
Q96RI9	TAAR9_HUMAN	TAAR9 TA3 TAR3 TRAR3
P46094	XCR1_HUMAN	XCR1 CCXCR1 GPR5
Q9NYV8	T2R14_HUMAN	TAS2R14
Q99835	SMO_HUMAN	SMO SMOH
P59540	T2R46_HUMAN	TAS2R46
Q8TE23	TS1R2_HUMAN	TAS1R2 GPR71 T1R2 TR2
P25105	PTAFR_HUMAN	PTAFR PAFR
P49190	PTH2R_HUMAN	PTH2R PTHR2
P47872	SCTR_HUMAN	SCTR
P59543	T2R20_HUMAN	TAS2R20 TAS2R49
Q7RTR8	T2R42_HUMAN	TAS2R42 TAS2R55
Q9UBY5	LPAR3_HUMAN	LPAR3 EDG7 LPA3
P25929	NPY1R_HUMAN	NPY1R NPYR NPYY1
Q96RB7	OR5MB_HUMAN	OR5M11
Q9H209	O10A4_HUMAN	OR10A4 OR10A4P
Q96R09	OR5B2_HUMAN	OR5B2
Q8NGN6	O10G7_HUMAN	OR10G7
A3KFT3	OR2M5_HUMAN	OR2M5 OR2M5P
Q8NGY6	OR6N2_HUMAN	OR6N2
Q8NGG2	OR5T2_HUMAN	OR5T2
Q8NH57	O52P1_HUMAN	OR52P1P OR52P1
P47900	P2RY1_HUMAN	P2RY1
P03999	OPSB_HUMAN	OPN1SW BCP
Q96RI0	PAR4_HUMAN	F2RL3 PAR4
Q86SM8	MRGRE_HUMAN	MRGPRE GPR167 MRGE
Q9GZM6	OR8D2_HUMAN	OR8D2
Q96R27	OR2M4_HUMAN	OR2M4
Q8NHB1	OR2V1_HUMAN	OR2V1
Q8NGB8	O4F15_HUMAN	OR4F15
Q96R47	O2A14_HUMAN	OR2A14 OR2A14P OR2A6
Q8NH67	O52I2_HUMAN	OR52I2
Q8NGF1	O52R1_HUMAN	OR52R1
Q8NGK5	O52M1_HUMAN	OR52M1 OR52M1P
Q9UKL2	O52A1_HUMAN	OR52A1
Q8N127	O5AS1_HUMAN	OR5AS1
P0DN80	OR5H8_HUMAN	OR5H8 OR5H8P
Q8NG99	OR7G2_HUMAN	OR7G2
