Entry	Entry name	Gene names
A4D1B5	GSAP_HUMAN	GSAP PION
A4QPH2	PI4P2_HUMAN	PI4KAP2
A5YKK6	CNOT1_HUMAN	CNOT1 CDC39 KIAA1007 NOT1 AD-005
A6NMY6	AXA2L_HUMAN	ANXA2P2 ANX2L2 ANX2P2 LPC2B
O00165	HAX1_HUMAN	HAX1 HS1BP1
O00170	AIP_HUMAN	AIP XAP2
O00182	LEG9_HUMAN	LGALS9
O00214	LEG8_HUMAN	LGALS8
O00255	MEN1_HUMAN	MEN1 SCG2
O00264	PGRC1_HUMAN	PGRMC1 HPR6.6 PGRMC
O00337	S28A1_HUMAN	SLC28A1 CNT1
O00400	ACATN_HUMAN	SLC33A1 ACATN AT1
O00410	IPO5_HUMAN	IPO5 KPNB3 RANBP5
O00468	AGRIN_HUMAN	AGRN AGRIN
O00481	BT3A1_HUMAN	BTN3A1 BTF5
O00562	PITM1_HUMAN	PITPNM1 DRES9 NIR2 PITPNM
O00624	NPT3_HUMAN	SLC17A2 NPT3
O00626	CCL22_HUMAN	CCL22 MDC SCYA22 A-152E5.1
O14519	CDKA1_HUMAN	CDK2AP1 CDKAP1 DOC1
O14640	DVL1_HUMAN	DVL1
O14641	DVL2_HUMAN	DVL2
O14727	APAF_HUMAN	APAF1 KIAA0413
O14777	NDC80_HUMAN	NDC80 HEC HEC1 KNTC2
O14782	KIF3C_HUMAN	KIF3C
O14786	NRP1_HUMAN	NRP1 NRP VEGF165R
O14788	TNF11_HUMAN	TNFSF11 OPGL RANKL TRANCE
O14793	GDF8_HUMAN	MSTN GDF8
O14950	ML12B_HUMAN	MYL12B MRLC2 MYLC2B
O14967	CLGN_HUMAN	CLGN
O14980	XPO1_HUMAN	XPO1 CRM1
O15027	SC16A_HUMAN	SEC16A KIAA0310 SEC16 SEC16L
O15055	PER2_HUMAN	PER2 KIAA0347
O15066	KIF3B_HUMAN	KIF3B KIAA0359
O15084	ANR28_HUMAN	ANKRD28 KIAA0379
O15118	NPC1_HUMAN	NPC1
O15123	ANGP2_HUMAN	ANGPT2
O15143	ARC1B_HUMAN	ARPC1B ARC41
O15144	ARPC2_HUMAN	ARPC2 ARC34 PRO2446
O15151	MDM4_HUMAN	MDM4 MDMX
O15169	AXIN1_HUMAN	AXIN1 AXIN
O15197	EPHB6_HUMAN	EPHB6
O15244	S22A2_HUMAN	SLC22A2 OCT2
O15245	S22A1_HUMAN	SLC22A1 OCT1
O15392	BIRC5_HUMAN	BIRC5 API4 IAP4
O15427	MOT4_HUMAN	SLC16A3 MCT4
O15438	MRP3_HUMAN	ABCC3 CMOAT2 MLP2 MRP3
O15439	MRP4_HUMAN	ABCC4 MRP4
O15440	MRP5_HUMAN	ABCC5 MRP5
O15511	ARPC5_HUMAN	ARPC5 ARC16
O15519	CFLAR_HUMAN	CFLAR CASH CASP8AP1 CLARP MRIT
O15540	FABP7_HUMAN	FABP7 BLBP FABPB MRG
O43172	PRP4_HUMAN	PRPF4 PRP4
O43187	IRAK2_HUMAN	IRAK2
O43396	TXNL1_HUMAN	TXNL1 TRP32 TXL TXNL
O43508	TNF12_HUMAN	TNFSF12 APO3L DR3LG UNQ181/PRO207
O43521	B2L11_HUMAN	BCL2L11 BIM
O43557	TNF14_HUMAN	TNFSF14 HVEML LIGHT UNQ391/PRO726
O43561	LAT_HUMAN	LAT
O43592	XPOT_HUMAN	XPOT
O43653	PSCA_HUMAN	PSCA UNQ206/PRO232
O43739	CYH3_HUMAN	CYTH3 ARNO3 GRP1 PSCD3
O43772	MCAT_HUMAN	SLC25A20 CAC CACT
O43826	G6PT1_HUMAN	SLC37A4 G6PT G6PT1 PRO0685 TRG19
O43868	S28A2_HUMAN	SLC28A2 CNT2
O43921	EFNA2_HUMAN	EFNA2 EPLG6 LERK6
O60232	ZNRD2_HUMAN	ZNRD2 SSSCA1
O60240	PLIN1_HUMAN	PLIN1 PERI PLIN
O60282	KIF5C_HUMAN	KIF5C KIAA0531 NKHC2
O60333	KIF1B_HUMAN	KIF1B KIAA0591 KIAA1448
O60462	NRP2_HUMAN	NRP2 VEGF165R2
O60506	HNRPQ_HUMAN	SYNCRIP HNRPQ NSAP1
O60563	CCNT1_HUMAN	CCNT1
O60610	DIAP1_HUMAN	DIAPH1 DIAP1
O60669	MOT2_HUMAN	SLC16A7 MCT2
O60706	ABCC9_HUMAN	ABCC9 SUR2
O60763	USO1_HUMAN	USO1 VDP
O60779	S19A2_HUMAN	SLC19A2 THT1 TRMA
O60869	EDF1_HUMAN	EDF1
O60880	SH21A_HUMAN	SH2D1A DSHP SAP
O60884	DNJA2_HUMAN	DNAJA2 CPR3 HIRIP4
O60885	BRD4_HUMAN	BRD4 HUNK1
O75144	ICOSL_HUMAN	ICOSLG B7H2 B7RP1 ICOSL KIAA0653
O75153	CLU_HUMAN	CLUH KIAA0664
