KEGG_GeneID	UniProtID	KEGG_PathwayID	KEGG_PathwayName
hsa:10327	P14550	hsa00010	Glycolysis / Gluconeogenesis
hsa:10327	V9HWI0	hsa00010	Glycolysis / Gluconeogenesis
hsa:124	P07327	hsa00010	Glycolysis / Gluconeogenesis
hsa:125	P00325	hsa00010	Glycolysis / Gluconeogenesis
hsa:125	V9HW50	hsa00010	Glycolysis / Gluconeogenesis
hsa:126	P00326	hsa00010	Glycolysis / Gluconeogenesis
hsa:127	P08319	hsa00010	Glycolysis / Gluconeogenesis
hsa:127	V9HVX7	hsa00010	Glycolysis / Gluconeogenesis
hsa:128	P11766	hsa00010	Glycolysis / Gluconeogenesis
hsa:128	Q6IRT1	hsa00010	Glycolysis / Gluconeogenesis
hsa:130	P28332	hsa00010	Glycolysis / Gluconeogenesis
hsa:130	Q8IUN7	hsa00010	Glycolysis / Gluconeogenesis
hsa:130589	Q96C23	hsa00010	Glycolysis / Gluconeogenesis
hsa:130589	A0A384MDW6	hsa00010	Glycolysis / Gluconeogenesis
hsa:131	P40394	hsa00010	Glycolysis / Gluconeogenesis
hsa:160287	Q6ZMR3	hsa00010	Glycolysis / Gluconeogenesis
hsa:1737	P10515	hsa00010	Glycolysis / Gluconeogenesis
hsa:1737	Q86YI5	hsa00010	Glycolysis / Gluconeogenesis
hsa:1738	P09622	hsa00010	Glycolysis / Gluconeogenesis
hsa:1738	A0A024R713	hsa00010	Glycolysis / Gluconeogenesis
hsa:2023	P06733	hsa00010	Glycolysis / Gluconeogenesis
hsa:2023	A0A024R4F1	hsa00010	Glycolysis / Gluconeogenesis
hsa:2026	P09104	hsa00010	Glycolysis / Gluconeogenesis
hsa:2026	Q6FHV6	hsa00010	Glycolysis / Gluconeogenesis
hsa:2027	P13929	hsa00010	Glycolysis / Gluconeogenesis
hsa:217	P05091	hsa00010	Glycolysis / Gluconeogenesis
hsa:217	A0A384NPN7	hsa00010	Glycolysis / Gluconeogenesis
hsa:218	P30838	hsa00010	Glycolysis / Gluconeogenesis
hsa:218	Q6PKA6	hsa00010	Glycolysis / Gluconeogenesis
hsa:219	P30837	hsa00010	Glycolysis / Gluconeogenesis
hsa:219	A0A384MTJ7	hsa00010	Glycolysis / Gluconeogenesis
