Compound_id_(PubChem/ChEMBL)	InterPro_Domain_id	TP	FN	FP	TN	Recall	Precision	Accuracy	F1-score	MCC
10002525	IPR017452	10	2	3	2	0.8333	0.7692	0.7059	0.8000	0.2506
10008573	IPR017452	5	3	2	11	0.6250	0.7143	0.7619	0.6667	0.4854
10017389	IPR000719	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR001245	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR015725	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR020635	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR028174	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR030611	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR034670	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR034672	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR034673	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR035014	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR035064	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR035588	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR035589	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10017389	IPR039192	163	5	46	4	0.9702	0.7799	0.7661	0.8647	0.1062
10018826	IPR017452	4	2	0	5	0.6667	1.0000	0.8182	0.8000	0.6901
10019984	IPR017452	14	7	1	12	0.6667	0.9333	0.7647	0.7778	0.5772
10020713	IPR000719	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR001245	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR015725	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR020635	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR028174	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR030611	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR034670	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR034672	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR034673	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR035014	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR035064	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR035588	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR035589	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10020713	IPR039192	158	3	46	1	0.9814	0.7745	0.7644	0.8658	0.0080
10021946	IPR017452	12	10	1	12	0.5455	0.9231	0.6857	0.6857	0.4685
10023383	IPR000719	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR001245	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR015725	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR020635	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR028174	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR030611	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR034670	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR034672	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR034673	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
10023383	IPR035014	164	3	47	1	0.9820	0.7773	0.7674	0.8677	0.0088
