Compound_id_(PubChem/ChEMBL)	InterPro_Domain_id	TP	FN	FP	TN	Recall	Precision	Accuracy	F1-score	MCC
71561686	IPR000242-IPR003595	10	4	3	2	0.7143	0.7692	0.6316	0.7407	0.1083
71561687	IPR000242-IPR003595	10	4	3	2	0.7143	0.7692	0.6316	0.7407	0.1083
CHEMBL1166	IPR000001-IPR000294	2	1	0	3	0.6667	1.0000	0.8333	0.8000	0.7071
CHEMBL2316904	IPR000242-IPR003595	10	4	3	2	0.7143	0.7692	0.6316	0.7407	0.1083
CHEMBL2316905	IPR000242-IPR003595	10	4	3	2	0.7143	0.7692	0.6316	0.7407	0.1083
CHEMBL238493	IPR000001-IPR000742	4	2	1	5	0.6667	0.8000	0.7500	0.7273	0.5071
CHEMBL3621857	IPR003347-IPR019787	2	1	0	4	0.6667	1.0000	0.8571	0.8000	0.7303
CHEMBL3621867	IPR001965-IPR003349	3	0	0	3	1.0000	1.0000	1.0000	1.0000	1.0000
CHEMBL453336	IPR000719-IPR003598	2	1	0	5	0.6667	1.0000	0.8750	0.8000	0.7454
CHEMBL453336	IPR001245-IPR003598	2	1	0	5	0.6667	1.0000	0.8750	0.8000	0.7454
CHEMBL453336	IPR000719-IPR003599	2	1	0	5	0.6667	1.0000	0.8750	0.8000	0.7454
CHEMBL453336	IPR001245-IPR003599	2	1	0	5	0.6667	1.0000	0.8750	0.8000	0.7454
CHEMBL453336	IPR003598-IPR003599	2	1	0	5	0.6667	1.0000	0.8750	0.8000	0.7454
CHEMBL453336	IPR003598-IPR020635	2	1	0	5	0.6667	1.0000	0.8750	0.8000	0.7454
CHEMBL453336	IPR003599-IPR020635	2	1	0	5	0.6667	1.0000	0.8750	0.8000	0.7454
CHEMBL486437	IPR000719-IPR003598	2	2	0	4	0.5000	1.0000	0.7500	0.6667	0.5774
CHEMBL486437	IPR001245-IPR003598	2	2	0	4	0.5000	1.0000	0.7500	0.6667	0.5774
CHEMBL486437	IPR000719-IPR003599	2	2	0	4	0.5000	1.0000	0.7500	0.6667	0.5774
CHEMBL486437	IPR001245-IPR003599	2	2	0	4	0.5000	1.0000	0.7500	0.6667	0.5774
CHEMBL486437	IPR003598-IPR003599	2	2	0	4	0.5000	1.0000	0.7500	0.6667	0.5774
CHEMBL486437	IPR003598-IPR020635	2	2	0	4	0.5000	1.0000	0.7500	0.6667	0.5774
CHEMBL486437	IPR003599-IPR020635	2	2	0	4	0.5000	1.0000	0.7500	0.6667	0.5774
