Entry	Cross-reference (InterPro)
W6CW81	IPR004020;IPR011029;IPR040205;
W5XKT8	IPR007110;IPR036179;IPR013783;IPR034549;
U3KPV4	IPR005076;IPR029044;
S4R3Y5	IPR028139;
S4R3P1	IPR028139;
Q9YNA8	IPR003322;IPR038124;IPR000721;IPR008916;IPR008919;IPR010999;IPR001878;IPR036875;
Q9Y6Z7	IPR001304;IPR016186;IPR018378;IPR008160;IPR033990;IPR016187;
Q9Y6Z5	
Q9Y6Z4	
Q9Y6Z2	
Q9Y6Y9	IPR014756;IPR039217;IPR003172;
Q9Y6Y8	IPR004177;IPR001660;IPR013761;IPR037603;
Q9Y6Y1	IPR002110;IPR020683;IPR036770;IPR039033;IPR005559;IPR013783;IPR014756;IPR002909;IPR000048;IPR027417;
Q9Y6Y0	IPR011705;IPR017096;IPR000210;IPR015915;IPR006652;IPR011333;
Q9Y6X9	IPR003594;IPR036890;IPR041006;IPR011124;
Q9Y6X8	IPR009057;IPR001356;IPR041057;IPR036236;IPR013087;
Q9Y6X6	IPR002110;IPR020683;IPR036770;IPR000048;IPR001609;IPR036042;IPR039482;IPR027417;
Q9Y6X5	IPR017850;IPR029879;IPR002591;
Q9Y6X4	IPR029625;IPR029623;
Q9Y6X3	IPR019440;IPR011990;IPR019734;
Q9Y6X2	IPR023321;IPR038654;IPR003034;IPR036361;IPR004181;IPR013083;
Q9Y6X1	IPR010580;
Q9Y6X0	IPR017956;
Q9Y6W8	IPR039943;IPR013783;IPR013106;
Q9Y6W6	IPR020417;IPR000340;IPR008343;IPR029021;IPR001763;IPR036873;IPR016130;IPR000387;IPR020422;
Q9Y6W5	IPR028288;IPR003124;
Q9Y6W3	IPR033883;IPR022684;IPR022682;IPR022683;IPR036213;IPR007330;IPR036181;IPR038765;IPR001300;
Q9Y6V7	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;
Q9Y6V0	IPR000008;IPR035892;IPR001478;IPR036034;IPR030629;IPR011011;IPR008899;IPR013083;
Q9Y6U7	IPR001841;IPR013083;
Q9Y6U3	IPR029006;IPR030012;IPR007123;IPR036180;IPR007122;
Q9Y6T7	IPR017438;IPR029477;IPR037607;IPR038199;IPR000756;IPR001206;IPR011992;IPR018247;IPR002048;IPR016064;IPR002219;
Q9Y6S9	IPR011009;IPR007330;IPR036181;IPR000719;IPR035050;IPR035053;
Q9Y6R9	
Q9Y6R7	IPR000742;IPR003645;IPR035234;IPR036084;IPR002919;IPR025615;IPR014853;IPR001007;IPR001846;
Q9Y6R6	IPR001909;IPR036051;IPR036236;IPR013087;
Q9Y6R4	IPR011009;IPR000719;IPR017441;IPR008271;
Q9Y6R1	IPR013769;IPR011531;IPR003020;IPR003024;IPR016152;
Q9Y6R0	IPR016698;IPR010449;IPR011993;IPR006020;
Q9Y6Q9	IPR011598;IPR010011;IPR032565;IPR036638;IPR028818;IPR009110;IPR014920;IPR037077;IPR017426;IPR000014;IPR035965;IPR013767;IPR014935;
Q9Y6Q6	IPR041648;IPR001368;IPR022323;IPR022361;IPR034040;
Q9Y6Q5	IPR036168;IPR022775;IPR001392;IPR018240;IPR011012;IPR028565;
Q9Y6Q3	IPR001909;IPR036051;IPR036236;IPR013087;
Q9Y6Q2	IPR036168;IPR028565;IPR012320;IPR031232;IPR017110;
Q9Y6Q1	IPR033884;IPR000008;IPR035892;IPR033883;IPR022684;IPR022682;IPR022683;IPR036213;IPR038765;IPR001300;
Q9Y6P5	IPR029032;IPR006730;
Q9Y6N9	IPR030237;IPR001478;IPR036034;
Q9Y6N8	IPR039808;IPR002126;IPR015919;IPR020894;IPR000233;IPR027397;
Q9Y6N7	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR013106;IPR032986;
Q9Y6N6	IPR000742;IPR002049;IPR000034;IPR008211;IPR038684;
Q9Y6N5	IPR036188;IPR023753;IPR015904;
Q9Y6N3	IPR013642;
Q9Y6N1	IPR023471;IPR007533;
Q9Y6M9	IPR008011;IPR033034;
Q9Y6M7	IPR013769;IPR011531;IPR003020;IPR016152;
Q9Y6M5	IPR002524;IPR036837;IPR027469;
Q9Y6M4	IPR022247;IPR011009;IPR000719;IPR017441;IPR008271;
Q9Y6M1	IPR028743;IPR034843;IPR004087;IPR004088;IPR036612;IPR012677;IPR035979;IPR000504;
Q9Y6M0	IPR009003;IPR001314;IPR034380;IPR001254;IPR018114;IPR033116;
Q9Y6L7	IPR015446;IPR000859;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR024079;IPR001506;IPR006026;IPR035914;IPR034036;
Q9Y6L6	IPR002350;IPR036058;IPR020846;IPR036259;IPR004156;
Q9Y6K9	IPR032419;IPR021063;IPR034735;
Q9Y6K8	IPR000850;IPR033690;IPR006267;IPR027417;
Q9Y6K5	IPR006117;IPR006116;IPR018952;IPR038121;IPR026774;IPR002934;
Q9Y6K1	IPR025766;IPR018117;IPR001525;IPR040552;IPR030487;IPR000313;IPR029063;
Q9Y6K0	IPR000462;IPR014472;
Q9Y6J9	IPR009072;IPR037796;IPR011442;IPR004823;
Q9Y6J8	IPR000340;IPR029021;IPR001763;IPR036873;IPR020422;
Q9Y6J6	IPR000369;IPR005425;
Q9Y6J3	
Q9Y6J0	IPR033053;IPR015134;IPR013026;IPR011990;IPR019734;
Q9Y6I9	IPR011256;
Q9Y6I8	IPR019531;
Q9Y6I7	IPR020472;IPR001496;IPR036036;IPR015943;IPR001680;IPR019775;IPR017986;IPR036322;
Q9Y6I4	IPR038765;IPR001394;IPR018200;IPR028889;IPR013083;IPR001607;
Q9Y6I3	IPR013809;IPR008942;IPR039416;IPR003903;
Q9Y6I0	IPR001969;IPR000467;IPR001995;IPR021109;IPR034170;IPR018061;
Q9Y6H8	IPR000500;IPR002262;IPR034634;IPR019570;IPR017990;IPR013092;IPR038359;
Q9Y6H6	IPR000369;IPR005426;
Q9Y6H5	IPR002110;IPR020683;IPR036770;IPR040133;IPR032027;
Q9Y6H3	IPR019165;
Q9Y6H1	IPR010625;
Q9Y6G9	IPR008467;IPR022780;IPR027417;
Q9Y6G5	IPR017920;IPR037361;
Q9Y6G3	IPR019346;
Q9Y6G1	IPR005349;
Q9Y6F9	IPR005817;IPR009143;IPR018161;
Q9Y6F8	IPR016197;IPR000953;IPR017984;IPR023780;IPR023779;IPR029045;IPR001753;IPR014748;
Q9Y6F7	IPR016197;IPR000953;IPR017984;IPR023780;IPR023779;IPR029045;IPR001753;IPR014748;
Q9Y6F6	IPR008677;
Q9Y6F1	IPR031275;IPR012317;IPR004102;IPR036616;IPR036930;IPR008893;
Q9Y6E7	IPR029035;IPR003000;IPR026591;IPR026587;IPR026590;
Q9Y6E2	IPR016024;IPR016021;IPR003307;
Q9Y6E0	IPR011009;IPR000719;IPR017441;
Q9Y6D9	IPR008672;
Q9Y6D6	IPR016024;IPR032629;IPR015403;IPR023394;IPR000904;IPR035999;IPR032691;
Q9Y6D5	IPR016024;IPR032629;IPR015403;IPR023394;IPR000904;IPR035999;IPR032691;
Q9Y6D0	IPR024491;
Q9Y6C9	IPR018108;IPR023395;
Q9Y6C7	
Q9Y6C5	IPR003392;IPR000731;IPR004766;
Q9Y6C2	IPR001073;IPR008160;IPR011489;IPR008983;
Q9Y6B7	IPR026739;IPR016342;IPR011989;IPR016024;IPR015151;IPR002553;IPR012295;
Q9Y6B6	IPR027417;IPR005225;IPR006689;IPR006687;
Q9Y6B2	IPR033258;IPR033255;
Q9Y6A9	IPR037713;IPR009542;
Q9Y6A5	IPR039915;IPR007707;
Q9Y6A4	IPR040441;IPR007714;
Q9Y6A2	IPR039983;IPR001128;IPR017972;IPR002401;IPR036396;
Q9Y6A1	IPR027005;IPR003342;IPR036300;IPR016093;IPR032421;
Q9Y698	IPR004031;IPR005422;IPR008368;
Q9Y697	IPR000192;IPR020578;IPR010240;IPR016454;IPR015424;IPR015422;IPR015421;
Q9Y696	IPR002946;IPR010987;IPR036282;IPR040079;IPR036249;
Q9Y694	IPR011701;IPR020846;IPR036259;IPR004749;
Q9Y693	IPR019372;
Q9Y692	IPR024830;IPR010919;IPR000770;
Q9Y691	IPR003930;IPR037096;IPR015382;
Q9Y689	IPR027417;IPR005225;IPR006689;
Q9Y680	IPR011992;IPR018247;IPR002048;IPR001179;
Q9Y679	IPR003892;
Q9Y678	IPR011989;IPR016024;IPR002553;IPR013041;IPR009028;IPR032154;IPR017106;IPR013040;IPR037067;IPR012295;
Q9Y676	IPR040054;IPR001648;IPR036870;
Q9Y675	IPR009847;
Q9Y673	IPR035518;IPR001173;IPR029044;
Q9Y672	IPR039488;IPR004856;
Q9Y666	IPR004841;IPR030354;IPR000076;IPR018491;IPR004842;
Q9Y664	IPR029982;
