Entry	Entry name	Gene names
P51170	SCNNG_HUMAN	SCNN1G
Q01118	SCN7A_HUMAN	SCN7A SCN6A
Q9C0H2	TTYH3_HUMAN	TTYH3 KIAA1691
Q9ULQ1	TPC1_HUMAN	TPCN1 KIAA1169 TPC1
Q7Z4N2	TRPM1_HUMAN	TRPM1 LTRPC1 MLSN MLSN1
Q8IU68	TMC8_HUMAN	TMC8 EVER2 EVIN2
Q9NVV0	TM38B_HUMAN	TMEM38B C9orf87
Q9H6F2	TM38A_HUMAN	TMEM38A
Q8IWT1	SCN4B_HUMAN	SCN4B
Q9BVC6	TM109_HUMAN	TMEM109
Q9NQA5	TRPV5_HUMAN	TRPV5 ECAC1
Q401N2	ZACN_HUMAN	ZACN L2 LGICZ LGICZ1 ZAC
Q9Y5S1	TRPV2_HUMAN	TRPV2 VRL
Q9BSA9	TM175_HUMAN	TMEM175
Q8NET8	TRPV3_HUMAN	TRPV3
Q9UBN4	TRPC4_HUMAN	TRPC4
O60939	SCN2B_HUMAN	SCN2B UNQ326/PRO386
Q7Z402	TMC7_HUMAN	TMC7
Q9NY72	SCN3B_HUMAN	SCN3B KIAA1158
Q9UM00	TMCO1_HUMAN	TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177
Q15413	RYR3_HUMAN	RYR3 HBRR
Q9Y5Y9	SCNAA_HUMAN	SCN10A
Q13507	TRPC3_HUMAN	TRPC3 TRP3
Q9Y210	TRPC6_HUMAN	TRPC6 TRP6
P35499	SCN4A_HUMAN	SCN4A
P21817	RYR1_HUMAN	RYR1 RYDR
Q9BSA4	TTYH2_HUMAN	TTYH2 C17orf29
Q9UL62	TRPC5_HUMAN	TRPC5 TRP5
Q9NZQ8	TRPM5_HUMAN	TRPM5 LTRPC5 MTR1
Q9H1D0	TRPV6_HUMAN	TRPV6 ECAC2
Q9HBA0	TRPV4_HUMAN	TRPV4 VRL2 VROAC
Q6UXY8	TMC5_HUMAN	TMC5 UNQ8238/PRO33604
Q9H313	TTYH1_HUMAN	TTYH1
Q8TD43	TRPM4_HUMAN	TRPM4 LTRPC4
Q14524	SCN5A_HUMAN	SCN5A
Q7Z5M5	TMC3_HUMAN	TMC3
O94759	TRPM2_HUMAN	TRPM2 EREG1 KNP3 LTRPC2 TRPC7
Q8NER1	TRPV1_HUMAN	TRPV1 VR1
P25874	UCP1_HUMAN	UCP1 SLC25A7 UCP
P48995	TRPC1_HUMAN	TRPC1 TRP1
O75762	TRPA1_HUMAN	TRPA1 ANKTM1
Q9NTG1	PKDRE_HUMAN	PKDREJ
Q9HCF6	TRPM3_HUMAN	TRPM3 KIAA1616 LTRPC3
Q09470	KCNA1_HUMAN	KCNA1
P22001	KCNA3_HUMAN	KCNA3 HGK5
Q96ER9	MITOK_HUMAN	CCDC51 MITOK
Q6NSJ5	LRC8E_HUMAN	LRRC8E
Q9Y342	PLLP_HUMAN	PLLP PMLP TM4SF11
Q96PR1	KCNC2_HUMAN	KCNC2
Q9Y257	KCNK6_HUMAN	KCNK6 TOSS TWIK2
Q7RTM1	OTOP1_HUMAN	OTOP1
Q96RD6	PANX2_HUMAN	PANX2
Q9BXS9	S26A6_HUMAN	SLC26A6
Q8TDI8	TMC1_HUMAN	TMC1
Q9HCX4	TRPC7_HUMAN	TRPC7 TRP7
Q92736	RYR2_HUMAN	RYR2
Q15858	SCN9A_HUMAN	SCN9A NENA
Q7Z404	TMC4_HUMAN	TMC4
Q7Z442	PK1L2_HUMAN	PKD1L2 KIAA1879 PC1L2
Q7Z443	PK1L3_HUMAN	PKD1L3
P37088	SCNNA_HUMAN	SCNN1A SCNN1
Q7Z403	TMC6_HUMAN	TMC6 EVER1 EVIN1
Q8NHX9	TPC2_HUMAN	TPCN2 TPC2
Q7Z2W7	TRPM8_HUMAN	TRPM8 LTRPC6 TRPP8
Q9BXJ8	TACAN_HUMAN	TMEM120A TACAN TMPIT
Q9NY46	SCN3A_HUMAN	SCN3A KIAA1356 NAC3
P51172	SCNND_HUMAN	SCNN1D DNACH
Q9H2B4	S26A1_HUMAN	SLC26A1 SAT1
Q8TDW0	LRC8C_HUMAN	LRRC8C AD158 FAD158
P56750	CLD17_HUMAN	CLDN17 UNQ758/PRO1489
P32297	ACHA3_HUMAN	CHRNA3 NACHRA3
Q9NY37	ASIC5_HUMAN	ASIC5 ACCN5 HINAC
P42262	GRIA2_HUMAN	GRIA2 GLUR2
A5X5Y0	5HT3E_HUMAN	HTR3E
P18507	GBRG2_HUMAN	GABRG2
P30532	ACHA5_HUMAN	CHRNA5 NACHRA5
P17787	ACHB2_HUMAN	CHRNB2
Q9UHC3	ASIC3_HUMAN	ASIC3 ACCN3 SLNAC1 TNAC1
Q8IZS8	CA2D3_HUMAN	CACNA2D3
O15247	CLIC2_HUMAN	CLIC2
P07510	ACHG_HUMAN	CHRNG ACHRG
O15547	P2RX6_HUMAN	P2RX6 P2RXL1 P2X6
Q9NSA2	KCND1_HUMAN	KCND1
Q03721	KCNC4_HUMAN	KCNC4 C1orf30
Q92806	KCNJ9_HUMAN	KCNJ9 GIRK3
Q6PIL6	KCIP4_HUMAN	KCNIP4 CALP KCHIP4
Q96QZ0	PANX3_HUMAN	PANX3
Q8TAE7	KCNG3_HUMAN	KCNG3
P16389	KCNA2_HUMAN	KCNA2
Q93086	P2RX5_HUMAN	P2RX5 P2X5
O15554	KCNN4_HUMAN	KCNN4 IK1 IKCA1 KCA4 SK4
Q9Y2U2	KCNK7_HUMAN	KCNK7
Q16515	ASIC2_HUMAN	ASIC2 ACCN ACCN1 BNAC1 MDEG
Q8NE86	MCU_HUMAN	MCU C10orf42 CCDC109A
O60391	NMD3B_HUMAN	GRIN3B
Q96D96	HVCN1_HUMAN	HVCN1 VSOP UNQ578/PRO1140
O43424	GRID2_HUMAN	GRID2 GLURD2
Q14571	ITPR2_HUMAN	ITPR2
O00180	KCNK1_HUMAN	KCNK1 HOHO1 KCNO1 TWIK1
P48051	KCNJ6_HUMAN	KCNJ6 GIRK2 KATP2 KCNJ7
Q14722	KCAB1_HUMAN	KCNAB1 KCNA1B
Q9NYG8	KCNK4_HUMAN	KCNK4 TRAAK
O95279	KCNK5_HUMAN	KCNK5 TASK2
Q14957	NMDE3_HUMAN	GRIN2C NMDAR2C
Q5VT99	LRC38_HUMAN	LRRC38
Q8NCM2	KCNH5_HUMAN	KCNH5 EAG2
B7ZAQ6	GPHRA_HUMAN	GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218
Q6UVM3	KCNT2_HUMAN	KCNT2 SLICK
Q9UNX9	KCJ14_HUMAN	KCNJ14 IRK4
O14764	GBRD_HUMAN	GABRD
Q99572	P2RX7_HUMAN	P2RX7
Q96T55	KCNKG_HUMAN	KCNK16 TALK1
P78508	KCJ10_HUMAN	KCNJ10
Q9UQ05	KCNH4_HUMAN	KCNH4
Q6PIU1	KCNV1_HUMAN	KCNV1
Q9H2S1	KCNN2_HUMAN	KCNN2
Q9HB14	KCNKD_HUMAN	KCNK13
Q99571	P2RX4_HUMAN	P2RX4
Q7RTS6	OTOP2_HUMAN	OTOP2
P57789	KCNKA_HUMAN	KCNK10 TREK2
P18505	GBRB1_HUMAN	GABRB1
Q8TCU5	NMD3A_HUMAN	GRIN3A KIAA1973
Q8N1C3	GBRG1_HUMAN	GABRG1
Q9UN88	GBRT_HUMAN	GABRQ
Q9ULK0	GRID1_HUMAN	GRID1 KIAA1220
P42263	GRIA3_HUMAN	GRIA3 GLUR3 GLURC
Q9NR82	KCNQ5_HUMAN	KCNQ5
Q86W47	KCMB4_HUMAN	KCNMB4
O95069	KCNK2_HUMAN	KCNK2 TREK TREK1
Q9UJ96	KCNG2_HUMAN	KCNG2 KCNF2
O14649	KCNK3_HUMAN	KCNK3 TASK TASK1
P0CG08	GPHRB_HUMAN	GPR89B GPHRB GPR89C HSPC201
Q9UL51	HCN2_HUMAN	HCN2 BCNG2
Q9Y691	KCMB2_HUMAN	KCNMB2
Q13303	KCAB2_HUMAN	KCNAB2 KCNA2B KCNK2
P51787	KCNQ1_HUMAN	KCNQ1 KCNA8 KCNA9 KVLQT1
Q8TDN2	KCNV2_HUMAN	KCNV2
P17658	KCNA6_HUMAN	KCNA6
Q96RP8	KCNA7_HUMAN	KCNA7
P63252	KCNJ2_HUMAN	KCNJ2 IRK1
Q96RD7	PANX1_HUMAN	PANX1 MRS1 UNQ2529/PRO6028
Q9HB15	KCNKC_HUMAN	KCNK12
P58549	FXYD7_HUMAN	FXYD7
O95259	KCNH1_HUMAN	KCNH1 EAG EAG1
P48050	KCNJ4_HUMAN	KCNJ4 IRK3
Q8N7C0	LRC52_HUMAN	LRRC52
Q92508	PIEZ1_HUMAN	PIEZO1 FAM38A KIAA0233
Q2I0M4	LRC26_HUMAN	LRRC26 CAPC
P51575	P2RX1_HUMAN	P2RX1 P2X1
Q9UBL9	P2RX2_HUMAN	P2RX2 P2X2
Q9NZM6	PK2L2_HUMAN	PKD2L2
P51168	SCNNB_HUMAN	SCNN1B
Q9H813	PACC1_HUMAN	PACC1 C1orf75 TMEM206
O15399	NMDE4_HUMAN	GRIN2D GluN2D NMDAR2D
Q9GZU1	MCLN1_HUMAN	MCOLN1 ML4 TRPML1 MSTP080
Q05586	NMDZ1_HUMAN	GRIN1 NMDAR1
P56373	P2RX3_HUMAN	P2RX3
Q8TDX9	PK1L1_HUMAN	PKD1L1 UNQ5785/PRO19563
Q9P0L9	PK2L1_HUMAN	PKD2L1 PKD2L PKDL TRPP3
Q8TDD5	MCLN3_HUMAN	MCOLN3
Q12879	NMDE1_HUMAN	GRIN2A NMDAR2A
Q7RTS5	OTOP3_HUMAN	OTOP3
Q9H5I5	PIEZ2_HUMAN	PIEZO2 C18orf30 C18orf58 FAM38B
Q13563	PKD2_HUMAN	PKD2 TRPP2
Q8TDI7	TMC2_HUMAN	TMC2 C20orf145 UNQ907/PRO1928
Q9UQD0	SCN8A_HUMAN	SCN8A MED
Q9UI33	SCNBA_HUMAN	SCN11A SCN12A SNS2
Q99250	SCN2A_HUMAN	SCN2A NAC2 SCN2A1 SCN2A2
Q06432	CCG1_HUMAN	CACNG1 CACNLG
P43681	ACHA4_HUMAN	CHRNA4 NACRA4
P54284	CACB3_HUMAN	CACNB3 CACNLB3
Q96FT7	ASIC4_HUMAN	ASIC4 ACCN4
Q70Z44	5HT3D_HUMAN	HTR3D
Q8NFU0	BEST4_HUMAN	BEST4 VMD2L2
Q08289	CACB2_HUMAN	CACNB2 CACNLB2 MYSB
Q9GZZ6	ACH10_HUMAN	CHRNA10 NACHRA10
P30926	ACHB4_HUMAN	CHRNB4
