Entry	Length
P22234	425
Q6QHF9	649
Q86WK9	346
Q8TEZ7	354
Q8IY49	270
Q9NR21	338
Q86TB9	770
Q2NL67	630
O00254	374
Q96QU1	1955
Q9UN66	801
Q96JQ0	3298
O14917	1159
Q9HCL0	1135
Q9Y5G0	923
Q9Y5F8	929
Q9Y5I4	1007
Q9Y5F6	944
Q9Y5H4	931
Q9Y5G5	932
O94913	1555
P35227	344
Q7Z2X4	250
P42785	496
Q16549	785
Q9UHG2	260
Q6UW60	755
P29122	969
Q9Y5K3	369
Q9H6A9	2034
Q63HM2	1172
Q9BRP1	358
Q15116	288
Q16342	344
P30520	456
P27815	886
P35913	854
P51160	858
Q8N165	341
Q15118	436
Q53GG5	364
Q15120	406
O15530	556
Q9NR12	457
O00151	329
Q8NCN5	879
Q9P0J1	537
Q6P996	788
Q8WV22	266
Q5PT55	438
Q9UNZ2	370
Q63ZY6	315
Q9Y5A7	615
Q9BW27	656
Q99567	741
Q9ULJ1	636
Q5BJF6	829
P11182	482
P22059	807
Q9BXB4	747
Q9NX31	292
Q9H1P3	480
Q9H4L5	887
Q12923	2485
Q15678	1187
Q9BZF2	842
Q9BZF1	889
P18031	435
Q9Y2R2	807
Q9H3S7	1636
P17706	415
P26045	913
Q86UW1	340
Q86UW2	128
P29350	595
A2A3K4	754
Q92932	1015
P18433	802
P23467	1997
P08575	1306
P10586	1907
Q9HD43	1115
P28827	1452
Q7RTM1	612
Q8NHW6	89
Q92729	1446
Q8TE49	926
P83859	136
P41217	278
Q96RQ9	567
Q8TDS5	423
A6NNC1	897
Q8IYS1	436
P53801	180
O00398	339
Q969Q6	453
Q15391	338
O00443	1686
Q96A73	305
P13674	534
Q7Z4N8	544
P04637	393
Q9UHX1	559
Q06416	359
O14683	189
Q14671	1186
P32322	319
P68402	229
Q15102	231
P47712	749
Q9UP65	541
Q9NZK7	142
Q9BZM2	168
O15496	165
P0CB38	370
Q9BXP8	1791
O95340	614
Q86W56	976
P15863	534
Q15546	238
Q53GL7	1025
Q02962	417
Q9BUH6	204
Q96RI0	385
Q9NPB6	346
P26367	422
Q6UWI2	310
A6NGG8	1288
O60330	932
P05166	539
Q9UN70	934
Q9Y5H9	948
O95206	1070
Q9Y5G8	931
Q96NT5	459
Q9Y5G4	932
Q9Y5H6	950
Q9Y5H5	950
Q9BSM1	259
Q9BYE7	350
Q15645	432
Q9Y6V0	5142
P12004	261
P48539	62
Q15113	449
Q58A44	107
Q92824	1860
P49585	367
Q96RV3	2341
Q99447	389
Q9BUL8	212
Q9Y233	779
Q8N8D1	485
Q14123	709
O00408	941
Q14432	1141
Q13946	482
Q9NP56	450
Q96L73	2696
Q14973	349
Q9BW91	350
P60900	246
Q6IF63	320
Q9BZK8	76
Q01968	901
P12694	445
Q9BR26	566
Q13438	667
Q96SU4	736
P20962	102
Q8IYS5	282
Q9BXW6	950
Q9UJX0	560
Q9Y236	505
Q99952	460
Q99650	979
Q16825	1174
Q8TAX0	266
Q8N2R0	312
P0C6T2	37
P29074	926
P54829	565
P35236	360
P43378	593
