Entry	Cross-reference (InterPro)
P22234	IPR033626;IPR000031;IPR035893;IPR028923;IPR018236;
P9WIL5	IPR003721;IPR014729;
Q6QHF9	IPR002937;IPR036188;
O88554	IPR012317;IPR004102;IPR036616;IPR036930;IPR008893;
Q9NR21	IPR012317;IPR004170;IPR037197;
O00254	IPR000276;IPR017452;IPR003943;IPR003912;
Q5XJY4	IPR022764;IPR035952;
Q96QU1	IPR002126;IPR015919;IPR020894;IPR030718;
P42785	IPR029058;IPR008758;
Q16549	IPR008979;IPR034182;IPR002884;IPR000209;IPR036852;IPR022398;IPR023828;IPR015500;IPR032815;IPR038466;
Q6UW60	IPR006212;IPR008979;IPR009030;IPR034182;IPR002884;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR015500;IPR032815;IPR038466;
P29122	IPR000742;IPR006212;IPR008979;IPR032778;IPR009030;IPR034182;IPR002884;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR015500;IPR010909;IPR032815;IPR038466;
Q15116	IPR007110;IPR036179;IPR013783;IPR003599;IPR013106;
P30520	IPR018220;IPR033128;IPR001114;IPR027529;IPR027417;
P14270	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P27815	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P35913	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P51160	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q8QZV1	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q15118	IPR036784;IPR018955;IPR039028;IPR003594;IPR036890;IPR005467;
Q63065	IPR036784;IPR018955;IPR039028;IPR003594;IPR036890;IPR005467;
Q15120	IPR036784;IPR018955;IPR039028;IPR003594;IPR036890;IPR005467;
O15530	IPR011009;IPR033931;IPR039046;IPR011993;IPR000719;IPR017441;IPR008271;
Q60597	IPR032106;IPR011603;IPR001017;IPR031717;IPR029061;IPR005475;
Q12923	IPR019749;IPR014352;IPR035963;IPR019748;IPR000299;IPR018979;IPR018980;IPR011019;IPR001478;IPR036034;IPR011993;IPR029021;IPR000242;IPR012153;IPR003595;IPR000387;IPR029071;
Q15678	IPR019749;IPR014352;IPR035963;IPR019748;IPR019747;IPR000299;IPR018979;IPR018980;IPR011993;IPR029021;IPR000242;IPR016130;IPR003595;IPR014392;IPR000387;IPR029071;
P18031	IPR029021;IPR000242;IPR012265;IPR016130;IPR003595;IPR000387;
P35821	IPR029021;IPR000242;IPR012265;IPR016130;IPR003595;IPR000387;
Q9Y2R2	IPR029021;IPR000242;IPR016276;IPR016130;IPR003595;IPR000387;
P17706	IPR029021;IPR000242;IPR012265;IPR016130;IPR003595;IPR000387;
P26045	IPR019749;IPR014352;IPR035963;IPR019748;IPR019747;IPR000299;IPR018979;IPR018980;IPR001478;IPR036034;IPR011993;IPR029021;IPR000242;IPR016130;IPR003595;IPR012151;IPR000387;IPR029071;
Q8R000	IPR005178;
P29350	IPR029021;IPR000242;IPR000980;IPR036860;IPR016130;IPR003595;IPR012152;IPR000387;
P18433	IPR029021;IPR000242;IPR016130;IPR003595;IPR016336;IPR027262;IPR000387;
P23467	IPR003961;IPR036116;IPR013783;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
P08575	IPR003961;IPR036116;IPR013783;IPR029021;IPR024739;IPR000242;IPR016335;IPR016130;IPR003595;IPR000387;
P10586	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
P28827	IPR013320;IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR003599;IPR013151;IPR000998;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
Q92729	IPR013320;IPR003961;IPR036116;IPR036179;IPR013783;IPR000998;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
P41217	IPR033321;IPR007110;IPR036179;IPR013783;IPR003599;IPR013106;IPR013151;
Q8TDS5	IPR000276;IPR017452;
O45307	IPR006181;IPR023209;IPR006076;
P97926	IPR000276;IPR017452;IPR002062;IPR001817;
P49653	IPR003045;IPR027309;IPR001429;
Q64663	IPR003050;IPR027309;IPR001429;
O00443	IPR016024;IPR000008;IPR035892;IPR011009;IPR001683;IPR000403;IPR036940;IPR018936;IPR037705;IPR002420;IPR000341;IPR015433;IPR001263;IPR036871;IPR029071;
