Entry	Cross-reference (InterPro)
A0A059UE90	IPR033573;IPR011009;IPR000719;IPR017441;IPR008271;IPR039192;
A0A060INS8	IPR038765;IPR025661;IPR000169;IPR025660;IPR013128;IPR000668;IPR039417;IPR013201;
A0AVT1	IPR032420;IPR032418;IPR000594;IPR018965;IPR038252;IPR019572;IPR035985;IPR018075;IPR000011;
A0MJA4	IPR004765;IPR032190;IPR003392;IPR000731;
A0MJA5	IPR004765;IPR032190;IPR003392;IPR000731;
A0SYQ0	IPR023352;IPR001129;IPR040162;
A2AGL3	IPR001870;IPR013320;IPR011992;IPR002048;IPR014821;IPR005821;IPR036300;IPR016093;IPR013662;IPR000699;IPR013333;IPR003032;IPR015925;IPR009460;IPR035910;IPR035761;IPR035764;IPR035762;IPR003877;
A2APX8	IPR005821;IPR008051;IPR001696;IPR010526;IPR024583;IPR027359;
A3KMY8	IPR036156;IPR008979;IPR006101;IPR023232;IPR006103;IPR023230;IPR006102;IPR006104;IPR017853;IPR013783;
A3RGC1	IPR035500;IPR000536;IPR001723;IPR000324;IPR001628;IPR013088;
A4D1B5	IPR028010;IPR026172;
A5A4K8	IPR003905;IPR000276;IPR017452;IPR039132;
A5D7B7	IPR029058;IPR031245;IPR002471;IPR001375;IPR002469;IPR038554;
A6QR73	IPR000276;IPR017452;
A6XA80	IPR001446;IPR018295;IPR023352;IPR001129;
A7L861	IPR036188;IPR013698;IPR040125;
A9QW74	IPR003050;IPR027309;IPR001429;
A9X4R8	IPR024079;IPR028718;IPR001818;
B0BNF9	IPR013785;IPR012133;IPR000262;IPR037396;IPR008259;
B0FL73	IPR002233;IPR000507;IPR000276;IPR017452;
B1AH88	
B2LUN4	IPR033573;IPR011009;IPR000719;IPR017441;IPR008271;IPR039192;
B2RXC2	IPR005522;IPR038286;
B2RXH2	IPR003347;IPR003349;
B3VTJ2	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
B5THE3	IPR031727;IPR011013;IPR000322;IPR030458;IPR030459;IPR025887;IPR013780;IPR017853;IPR017957;IPR000519;
B8PY99	IPR004070;IPR000355;IPR000276;IPR017452;
B8Q4Z9	IPR017981;IPR003053;IPR003051;IPR036445;IPR001879;IPR000832;IPR017983;
C5ISA2	IPR002452;IPR008280;IPR000217;IPR018316;IPR037103;IPR036525;IPR023123;IPR017975;IPR003008;
D3ZDM7	IPR006181;IPR023209;IPR006076;
D3ZGQ2	IPR002624;IPR031314;IPR027417;
D3ZJF9	IPR013785;IPR002241;IPR000111;IPR013780;IPR017853;IPR035373;
D3ZUM4	IPR026283;IPR025300;IPR008979;IPR031330;IPR019801;IPR001944;IPR017853;
D3ZWV0	IPR035500;IPR000536;IPR001723;IPR003078;IPR001628;IPR013088;
E1BKU0	IPR001513;IPR001634;IPR000276;IPR017452;
E1BN64	IPR003607;IPR002073;IPR036971;IPR023174;
E2R4B8	IPR000276;IPR017452;IPR028336;
E2RDN4	IPR027251;IPR004299;IPR014371;
E9Q4Z2	IPR034733;IPR013537;IPR011761;IPR013815;IPR005481;IPR011764;IPR005482;IPR000089;IPR005479;IPR029045;IPR011763;IPR011762;IPR016185;IPR011054;IPR011053;
F1MPW5	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
G1SR55	IPR000276;IPR017452;IPR002228;IPR000995;
G3H407	IPR000276;IPR017452;IPR000611;
G3I1B6	IPR000610;IPR002231;IPR000276;IPR017452;
G3IAK4	IPR001461;IPR001969;IPR009119;IPR009120;IPR033874;IPR033121;IPR021109;
G3V783	IPR001315;IPR011029;IPR011009;IPR000719;IPR017322;IPR001245;IPR008271;
H9B8T9	IPR038765;IPR025661;IPR000169;IPR025660;IPR013128;IPR000668;IPR012599;
H9EUW9	IPR000987;IPR000276;IPR017452;IPR004061;
I3LIR5	IPR008928;IPR012341;IPR001661;IPR018232;
M3VH47	IPR011009;IPR000719;IPR017441;IPR008271;
O00115	IPR004947;
O00141	IPR000961;IPR011009;IPR017892;IPR000719;IPR017441;IPR008271;
O00142	IPR002624;IPR031314;IPR027417;
O00167	IPR028473;IPR006545;IPR038102;IPR028472;IPR036412;
O00182	IPR013320;IPR001079;
O00206	IPR000483;IPR001611;IPR003591;IPR032675;IPR000157;IPR027168;IPR035897;
O00214	IPR013320;IPR030638;IPR001079;
O00220	IPR011029;IPR000488;IPR001368;IPR020465;IPR034024;IPR034029;
O00222	IPR001828;IPR000337;IPR011500;IPR038550;IPR017978;IPR017979;IPR000162;IPR000144;IPR028082;
O00238	IPR000472;IPR003605;IPR011009;IPR000719;IPR017441;IPR001245;IPR008271;IPR000333;
O00255	IPR007747;
O00257	IPR033773;IPR016197;IPR000953;IPR017984;IPR023780;IPR023779;
O00311	IPR011009;IPR000719;IPR017441;IPR008271;
O00329	IPR016024;IPR035892;IPR011009;IPR000403;IPR036940;IPR018936;IPR003113;IPR002420;IPR000341;IPR008290;IPR037703;IPR015433;IPR001263;IPR029071;
O00398	IPR000276;IPR017452;IPR027676;
O00400	IPR024371;IPR004752;IPR036259;
O00408	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O00418	IPR017400;IPR011009;IPR004166;IPR006597;IPR011990;
O00421	IPR000355;IPR000276;IPR017452;
O00443	IPR016024;IPR000008;IPR035892;IPR011009;IPR001683;IPR000403;IPR036940;IPR018936;IPR037705;IPR002420;IPR000341;IPR015433;IPR001263;IPR036871;IPR029071;
O00444	IPR011009;IPR033700;IPR000959;IPR033699;IPR033698;IPR033696;IPR000719;IPR017441;IPR008266;
O00462	IPR036156;IPR008979;IPR006103;IPR017853;IPR013783;
O00482	IPR035500;IPR016355;IPR000536;IPR001723;IPR001628;IPR013088;
O00483	IPR010530;
O00487	IPR000555;IPR037518;IPR035299;IPR024969;
O00506	IPR011009;IPR000719;IPR017441;IPR035060;
O00519	IPR000120;IPR020556;IPR023631;IPR036928;IPR030560;
O00571	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;
O00748	IPR029058;IPR002018;IPR019826;IPR019819;
O00750	IPR016024;IPR000008;IPR035892;IPR011009;IPR001683;IPR000403;IPR036940;IPR018936;IPR002420;IPR000341;IPR015433;IPR001263;IPR036871;IPR029071;
O00754	IPR011013;IPR011330;IPR011682;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;IPR013780;
O00763	IPR034733;IPR013537;IPR011761;IPR013815;IPR005481;IPR011764;IPR005482;IPR000089;IPR005479;IPR029045;IPR011763;IPR011762;IPR016185;IPR011054;IPR011053;
O00764	IPR013749;IPR004625;IPR029056;
O00767	IPR015876;IPR001522;
O02662	IPR002233;IPR000681;IPR000276;IPR017452;
O02667	IPR000466;IPR001634;IPR000276;IPR017452;
O02747	IPR033348;IPR039091;IPR011598;IPR036638;IPR001610;IPR000014;IPR035965;IPR013767;IPR013655;
O02768	IPR029576;IPR000742;IPR019791;IPR010255;IPR037120;
O02776	IPR007724;
O02824	IPR002233;IPR001004;IPR000276;IPR017452;
O02853	IPR012674;IPR002345;IPR000566;IPR002972;
O08530	IPR000987;IPR000276;IPR017452;IPR004061;
O08532	IPR013680;IPR013608;IPR002035;IPR036465;
O08537	IPR028355;IPR021064;IPR035500;IPR000536;IPR001723;IPR024178;IPR001628;IPR013088;
O08557	IPR033199;IPR033197;
O08562	IPR005821;IPR000048;IPR001696;IPR010526;IPR024583;IPR028803;IPR027359;
O08565	IPR022726;IPR000355;IPR001277;IPR000276;IPR017452;
O08590	IPR000269;IPR015798;IPR036460;IPR016182;IPR015800;IPR015802;
O08663	IPR036005;IPR000994;IPR001714;IPR002468;IPR018349;IPR036388;IPR036390;
O08689	IPR029034;IPR015616;IPR001839;IPR001111;IPR015615;IPR017948;
O08703	IPR005821;IPR003938;
O08725	IPR039129;IPR003905;IPR000276;IPR017452;
O08726	IPR003907;IPR000405;IPR000276;IPR017452;
O08786	IPR009126;IPR000596;IPR015276;IPR036472;IPR000276;IPR017452;
O08790	IPR000826;IPR000276;IPR017452;
O08816	IPR000095;IPR036936;IPR030214;IPR011993;IPR011026;IPR033927;IPR000697;IPR003124;
O08914	IPR000120;IPR020556;IPR023631;IPR036928;IPR030560;
O08966	IPR020846;IPR005828;IPR036259;IPR004749;IPR005829;
O08967	IPR011993;IPR001849;IPR023394;IPR000904;IPR035999;
O09106	IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;
O09114	IPR012674;IPR002345;IPR022272;IPR000566;IPR002972;
O09175	IPR016024;IPR038502;IPR034015;IPR015571;IPR001930;IPR015211;IPR014782;IPR027268;
O14519	IPR017266;
O14578	IPR000961;IPR017405;IPR001180;IPR037708;IPR011009;IPR002219;IPR011993;IPR001849;IPR000719;IPR017441;IPR008271;
O14638	IPR017849;IPR017850;IPR001604;IPR020821;IPR002591;IPR036024;IPR001212;
O14640	IPR000591;IPR024580;IPR008339;IPR003351;IPR001158;IPR038207;IPR015506;IPR008340;IPR001478;IPR036034;IPR029071;IPR036388;IPR036390;
O14641	IPR000591;IPR024580;IPR008339;IPR003351;IPR001158;IPR038207;IPR015506;IPR008341;IPR001478;IPR036034;IPR029071;IPR036388;IPR036390;
O14649	IPR003280;IPR003092;IPR013099;IPR005406;
O14672	IPR034025;IPR027053;IPR001762;IPR036436;IPR024079;IPR001590;IPR002870;
O14684	IPR023352;IPR001129;IPR040162;
O14727	IPR017251;IPR037963;IPR001315;IPR011029;IPR020472;IPR002182;IPR027417;IPR015943;IPR001680;IPR019775;IPR017986;IPR036322;IPR036388;
O14730	IPR011009;IPR000687;IPR018935;IPR017406;
O14733	IPR011009;IPR000719;IPR008271;
O14744	IPR025799;IPR007857;IPR035075;IPR035248;IPR035247;IPR029063;
O14746	IPR000477;IPR021891;IPR003545;
O14757	IPR034670;IPR011009;IPR000719;IPR017441;IPR008271;
O14786	IPR013320;IPR000859;IPR000421;IPR008979;IPR000998;IPR014648;IPR022579;IPR027146;IPR035914;
O14793	IPR029034;IPR015616;IPR001839;IPR001111;IPR015615;IPR017948;
O14804	IPR000276;IPR017452;IPR009132;
O14842	IPR000276;IPR017452;IPR013312;IPR013313;
O14920	IPR022007;IPR011009;IPR000719;IPR008271;IPR029071;IPR000626;
O14924	IPR003109;IPR001478;IPR036034;IPR011993;IPR006020;IPR003116;IPR016137;IPR037880;IPR036305;IPR024066;IPR029071;
O14936	IPR035473;IPR008145;IPR008144;IPR020590;IPR011009;IPR014775;IPR004172;IPR036892;IPR027417;IPR001478;IPR036034;IPR000719;IPR036028;IPR001452;
O14939	IPR011993;IPR001849;IPR001683;IPR025202;IPR001736;IPR016555;IPR015679;IPR036871;
O14965	IPR030616;IPR030611;IPR011009;IPR000719;IPR017441;IPR008271;
O14975	IPR025110;IPR020845;IPR000873;IPR030305;
O14976	IPR001623;IPR036869;IPR011009;IPR029021;IPR000719;IPR008271;IPR014020;IPR029023;
O14980	IPR011989;IPR016024;IPR013598;IPR001494;IPR014877;
O14983	IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR005782;IPR001757;IPR030332;
O15054	IPR003347;IPR029518;
O15055	IPR000014;IPR035965;IPR013655;IPR022728;
O15075	IPR003533;IPR036572;IPR011009;IPR000719;IPR017441;IPR008271;
O15111	IPR022007;IPR011009;IPR000719;IPR017441;IPR008271;
O15118	IPR004765;IPR032190;IPR003392;IPR000731;
O15120	IPR004552;IPR002123;
O15146	IPR020067;IPR036790;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR011009;IPR000719;IPR017441;IPR001245;IPR008266;IPR020635;
O15151	IPR015458;IPR016495;IPR036885;IPR003121;IPR001876;IPR036443;IPR001841;IPR013083;
O15164	IPR003649;IPR001487;IPR036427;IPR018359;IPR019786;IPR000315;IPR011011;IPR001965;IPR019787;IPR001841;IPR017907;
O15197	IPR027936;IPR001090;IPR003961;IPR036116;IPR008979;IPR009030;IPR013783;IPR011009;IPR000719;IPR001660;IPR013761;IPR001245;IPR011641;IPR016257;IPR001426;
O15228	IPR028353;IPR022284;IPR002123;
O15229	IPR002938;IPR036188;IPR027545;
O15244	IPR020846;IPR005828;IPR036259;IPR004749;IPR005829;
O15245	IPR020846;IPR005828;IPR036259;IPR004749;IPR005829;
O15264	IPR011009;IPR003527;IPR008352;IPR038785;IPR000719;IPR017441;
O15269	IPR004839;IPR015424;IPR015422;IPR015421;
O15270	IPR001917;IPR004839;IPR015424;IPR015422;IPR015421;
O15294	IPR037919;IPR029489;IPR013026;IPR011990;IPR001440;IPR019734;
