Entry	Cross-reference (InterPro)
P22234	IPR033626;IPR000031;IPR035893;IPR028923;IPR018236;
Q6QHF9	IPR002937;IPR036188;
Q86WK9	IPR004254;
Q8TEZ7	IPR004254;
Q8IY49	IPR004254;
Q9NR21	IPR012317;IPR004170;IPR037197;
Q86TB9	IPR039900;IPR019167;
Q2NL67	IPR012317;
O00254	IPR000276;IPR017452;IPR003943;IPR003912;
Q96QU1	IPR002126;IPR015919;IPR020894;IPR030718;
Q9UN66	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;
Q96JQ0	IPR002126;IPR015919;IPR020894;
O14917	IPR002126;IPR015919;IPR020894;IPR013164;IPR030709;
Q9HCL0	IPR002126;IPR015919;IPR020894;IPR013164;IPR030714;
Q9Y5G0	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5F8	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5I4	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;IPR030726;
Q9Y5F6	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5H4	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;IPR030736;
Q9Y5G5	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
O94913	IPR006569;IPR008942;IPR006903;
P35227	IPR039642;IPR032443;IPR001841;IPR013083;IPR017907;
Q7Z2X4	IPR011993;IPR039112;IPR039114;IPR006020;
P42785	IPR029058;IPR008758;
Q16549	IPR008979;IPR034182;IPR002884;IPR000209;IPR036852;IPR022398;IPR023828;IPR015500;IPR032815;IPR038466;
Q9UHG2	IPR010832;
Q6UW60	IPR006212;IPR008979;IPR009030;IPR034182;IPR002884;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR015500;IPR032815;IPR038466;
P29122	IPR000742;IPR006212;IPR008979;IPR032778;IPR009030;IPR034182;IPR002884;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR015500;IPR010909;IPR032815;IPR038466;
Q9Y5K3	IPR004821;IPR014729;
Q9H6A9	IPR039797;IPR007735;
Q63HM2	IPR039797;IPR007735;
Q9BRP1	IPR007320;
Q15116	IPR007110;IPR036179;IPR013783;IPR003599;IPR013106;
Q16342	IPR007320;IPR002893;
P30520	IPR018220;IPR033128;IPR001114;IPR027529;IPR027417;
P27815	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P35913	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P51160	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q8N165	IPR011009;IPR000719;IPR017441;IPR008271;
Q15118	IPR036784;IPR018955;IPR039028;IPR003594;IPR036890;IPR005467;
Q53GG5	IPR031847;IPR001478;IPR036034;IPR006643;IPR001781;
Q15120	IPR036784;IPR018955;IPR039028;IPR003594;IPR036890;IPR005467;
